,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 81",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:54.4,5983,1,10,10,0.202933882,1324.454781,1.156377478,0.001073279,1324.251847,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.575862545528088;0.575862545528087;0.580314274609735][...]],0.14052004,5,208823653,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 82",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:55.0,5983,0,10,10,0.242397593,1324.483633,1.194317326,0.001101195,1324.241236,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.235354216300384;0.235354216300384;0.942982919113207][...]],0.123595343,5,222225107,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 64",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:03.3,4706,3,10,5,0.02146348,1324.79795,0.130952371,0.001473612,1324.776486,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.613221367614334;0.613221367614334;0.497914760378132][...]],0.030998416,16,1163872032,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 64",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",300030,01:53.2,5983,3,10,10,0.222353513,1324.518856,1.159878796,0.001058898,1324.296503,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.592923589499164;0.592923589499164;0.544869923955116][...]],0.09932872,5,440874591,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 65",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:03.4,4706,3,10,5,0.039925056,1324.816718,0.126525133,0.001479079,1324.776793,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.696847047834426;0.696847047834426;0.169730326839048][...]],0.032428445,16,68853704,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 82",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:53.8,5983,1,10,10,0.351100185,1324.454777,1.258888629,0.001079268,1324.103677,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.571365573686188;0.571365573686188;0.589137303531618][...]],0.206536545,5,632644923,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 83",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:53.0,5983,0,10,10,0.231724181,1324.516493,1.206811528,0.001085548,1324.284768,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.619101868001298;0.619101868001297;0.483141546624391][...]],0.064006227,5,1459355832,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 66",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",300000,01:03.9,4706,3,10,5,0.059075533,1324.803892,0.167832788,0.00192847,1324.744817,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.250348683390232;0.250348683390232;0.935227819009654][...]],0.035836481,16,2015035492,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 65",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",300030,01:53.8,5983,3,10,10,0.224520928,1324.518558,1.166078326,0.001827485,1324.294037,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.593947088334527;0.593947088334526;0.5426358931345][...]],0.096522221,5,242358226,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 83",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:53.9,5983,1,10,10,0.250620598,1324.512311,1.239833921,0.001259682,1324.26169,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.282686663116134;0.282686663116134;0.91661142311916][...]],0.032858848,5,1162396629,10
