,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 23",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:06.9,6471,5,5,0.101507282,1324.751735,2.388484299,7.317996745,1324.650228,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.59412512650804;0.59412512650804;0.542245947982658][...]],1.839746538,10,464757587,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 23",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:08.7,6955,5,5,0.01998551,1324.74157,1.775103433,3.909586759,1324.721585,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.0942994992955567;0.0942994992955567;0.991067711544077][...]],2.001590883,10,560712594,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 24",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:04.4,5784,5,5,0.084395106,1324.609695,2.619605189,11.52518148,1324.5253,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.584493777061319;0.584493777061319;0.562791301596947][...]],1.510756237,10,1054852098,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 24",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:07.6,6135,5,5,0.121920939,1324.687306,2.219664042,6.132776738,1324.565385,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.488741181443793;0.488741181443793;0.722678431338483][...]],1.355361858,10,1820335191,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 24",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:08.7,6471,5,5,0.140552342,1324.749282,1.85419656,5.089118885,1324.60873,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.412835859874249;0.412835859874249;0.811870128532747][...]],1.259902475,10,1210791458,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 24",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:10.0,6955,5,5,0.111145412,1324.750852,1.483764507,3.296802408,1324.639706,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.162439676693656;0.162439676693656;0.973255723266666][...]],0.59281684,10,889472583,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 25",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:03.6,5784,5,5,0.067215155,1324.611608,2.803111566,11.4495633,1324.544393,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.641429209539926;0.641429209539925;0.420876630733963][...]],1.311973621,10,1359818500,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 25",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:06.2,6135,5,5,0.108505905,1324.701471,1.749850973,6.892043155,1324.592965,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.161195271442883;0.161195271442883;0.973669435141573][...]],1.340628661,10,415972713,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 25",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:06.9,6471,5,5,0.241382432,1324.729895,1.9258928,5.089825811,1324.488512,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.484054464270251;0.484054464270251;0.728959910584992][...]],1.858657265,10,406934747,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 25",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:09.1,6955,5,5,0.124665519,1324.749042,2.400836581,5.903993488,1324.624376,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.412818820497444;0.412818820497444;0.811887457032191][...]],1.646918,10,1750272040,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 26",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:06.9,5784,5,5,0.050087529,1324.605899,2.276050536,10.23671808,1324.555812,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.602576298263814;0.602576298263814;0.523262467162856][...]],1.692130812,10,482928087,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 26",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:10.5,6135,5,5,0.197301601,1324.709583,2.055842781,7.589425988,1324.512282,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.273405671411532;0.273405671411532;0.922224852018215][...]],1.702883358,10,1982078432,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 26",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:11.2,6471,5,5,0.09760893,1324.73299,2.7043749,7.235677784,1324.635381,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.134182294183311;0.134182294183311;0.981830038171275][...]],1.97016644,10,1654910358,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 26",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:12.4,6955,5,5,0.079844492,1324.761225,2.290940472,4.93941344,1324.68138,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.692081818724099;0.692081818724099;0.205050024099207][...]],2.002137134,10,1671754526,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 27",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:07.2,5784,5,5,0.067801743,1324.610907,2.474060423,11.2254818,1324.543105,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.429177931487415;0.429177931487415;0.794740590537798][...]],1.860352823,10,822239463,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 27",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:08.9,6135,5,5,0.06478077,1324.72139,2.043347403,6.990532518,1324.65661,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.162727762258158;0.162727762258158;0.973159468320021][...]],1.418392038,10,620444469,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 27",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:09.4,6471,5,5,0.108121134,1324.742466,2.227375101,6.525367136,1324.634345,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.356866355379571;0.356866355379571;0.863303427999798][...]],1.727515391,10,1041429583,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 27",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:09.6,6955,5,5,0.066050521,1324.752896,1.756152871,3.36835514,1324.686845,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.306731281546937;0.306731281546937;0.901017115176592][...]],1.184539092,10,1060552905,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 28",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:05.4,5784,5,5,0.01256895,1324.611895,2.150375174,10.93742491,1324.599326,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.211325182535333;0.211325182535333;0.954297298776862][...]],1.479088201,10,1620836075,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 28",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:09.7,6135,5,5,0.037627478,1324.691695,2.256694048,6.68713643,1324.654067,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.339747977558368;0.339747977558368;0.877007767063666][...]],1.934180528,10,1731205895,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 28",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:11.1,6471,5,5,0.088361765,1324.724115,1.977313929,5.989689347,1324.635753,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.207730112141725;0.207730112141725;0.955874678511348][...]],1.446249425,10,1278168160,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 28",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:12.8,6955,5,5,0.078413176,1324.745803,2.565126316,4.813922459,1324.66739,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.156347183516139;0.156347183516139;0.975249258606814][...]],1.778409256,10,1317858489,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 29",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:08.6,5784,5,5,0.146296017,1324.609191,2.472034157,9.169611946,1324.462895,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.591995157221164;0.591995157221164;0.546885241758615][...]],1.471749246,10,884429311,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 29",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:11.6,6135,5,5,0.120156524,1324.696292,1.710088628,5.75804023,1324.576135,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.652595189235516;0.652595189235516;0.385018230702551][...]],1.164238088,10,1417024182,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 29",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:13.2,6471,5,5,0.002891892,1324.735206,2.070423475,5.437259368,1324.732314,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.085392130124485;0.085392130124485;0.992681403183119][...]],1.3672667,10,1123132803,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 29",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:13.6,6955,5,5,0.101733632,1324.752784,1.833839587,4.990190422,1324.65105,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.260879433728882;0.260879433728881;0.929453517995707][...]],1.408967852,10,510648509,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 30",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:08.4,5784,5,5,0.108837157,1324.609293,2.655585438,10.09594906,1324.500456,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.553284458954485;0.553284458954485;0.622697852058994][...]],1.905167293,10,1050048543,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 30",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:09.8,6135,5,5,0.132081881,1324.710948,1.822008735,5.44463118,1324.578866,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.440649371059263;0.440649371059263;0.782084562927918][...]],1.268073128,10,1636760905,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 30",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:10.1,6471,5,5,0.108699623,1324.73548,2.025430753,6.270966974,1324.62678,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.171816033034247;0.171816033034247;0.970030154987333][...]],1.719625026,10,1957537790,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 30",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:11.9,6955,5,5,0.154457564,1324.755221,1.52862542,3.583114504,1324.600763,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.29022245929771;0.290222459297709;0.911889164448388][...]],0.861100362,10,683268205,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 31",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:06.6,5784,5,5,0.02683925,1324.611282,2.380899135,11.10495046,1324.584443,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.338774300897713;0.338774300897712;0.877760756756949][...]],1.623714319,10,2107421744,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 31",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:08.2,6135,5,5,0.087649071,1324.713227,2.201840508,6.878988684,1324.625577,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.329157856443659;0.329157856443659;0.885048140545378][...]],1.71730523,10,1569292148,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 31",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:08.4,6471,5,5,0.169755725,1324.733598,1.93997762,6.515881684,1324.563843,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.133724141544992;0.133724141544992;0.981955043744931][...]],1.138866135,10,1469363246,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 31",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:09.8,6955,5,5,0.17210004,1324.751011,1.696063201,3.900912893,1324.578911,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.54280992589721;0.54280992589721;0.640870321277972][...]],1.571402081,10,1368959672,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 32",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:04.9,5784,5,5,0.030733664,1324.608959,2.453774125,9.845749527,1324.578225,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.200918737726169;0.200918737726169;0.958782207626448][...]],1.425546582,10,765355385,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 32",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:11.2,6135,5,5,0.126743288,1324.698321,2.235888371,6.309446689,1324.571578,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.382381477240066;0.382381477240066;0.841171095394635][...]],1.541158473,10,1093445682,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 32",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:12.8,6471,5,5,0.121228399,1324.737264,2.518475699,6.788420662,1324.616036,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.523568579401885;0.523568579401885;0.672124903069499][...]],1.957109988,10,1525636145,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 32",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:14.2,6955,5,5,0.081451861,1324.737582,1.855496985,4.214936894,1324.65613,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.123958562142922;0.123958562142922;0.984514372542584][...]],1.463597677,10,402774062,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 33",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:08.6,5784,5,5,0.105258746,1324.609568,2.23826114,10.52460258,1324.504309,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.621647687228614;0.621647687228614;0.47655881685961][...]],1.542235089,10,699611242,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 33",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:08.8,6135,5,5,0.242676453,1324.698594,2.068824862,7.026423895,1324.455918,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.678057008568119;0.678057008568119;0.28368536490857][...]],1.438504477,10,1785829001,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 33",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:09.3,6471,5,5,0.067627677,1324.738831,2.466689936,4.432659432,1324.671203,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.498825566696371;0.498825566696371;0.708763788592567][...]],2.527679045,10,1102086009,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 33",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:10.5,6955,5,5,0.094529496,1324.760458,2.221532633,5.008470363,1324.665928,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.168404241914839;0.168404241914839;0.971226040945246][...]],1.717782956,10,1306359417,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 34",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:05.4,5784,5,5,0.024241865,1324.61122,2.575369825,10.20793228,1324.586978,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.48483642353579;0.48483642353579;0.727919834065571][...]],1.689962516,10,33965224,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 34",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:10.6,6135,5,5,0.110159993,1324.696469,2.230064475,8.570773615,1324.586309,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.401646855628713;0.401646855628712;0.823018594399383][...]],1.593429219,10,1242100369,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 34",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:11.1,6471,5,5,0.192566714,1324.728647,2.464117335,6.525831587,1324.53608,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.560702267587515;0.560702267587515;0.609283131429419][...]],2.040718981,10,232522669,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 35",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:08.3,5784,5,5,0.03416725,1324.611033,2.338285957,10.96831293,1324.576866,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.395062066330637;0.395062066330637;0.829368390700498][...]],1.434674586,10,1667221796,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 34",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:12.8,6955,5,5,0.153555948,1324.753464,1.61666105,4.204128628,1324.599908,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.535607565074257;0.535607565074257;0.652877532520802][...]],1.348063951,10,1138528625,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 35",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:09.8,6135,5,5,0.223133736,1324.697897,1.826042017,5.704162782,1324.474763,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.426361710844196;0.426361710844196;0.797766496571535][...]],1.423694494,10,1560723995,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 35",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:10.1,6471,5,5,0.103142926,1324.735475,2.322114632,6.173802731,1324.632333,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.67095742699341;0.67095742699341;0.315645786166654][...]],1.672267636,10,578586169,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 36",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:05.9,5784,5,5,0.040528094,1324.610889,2.306895517,10.1829577,1324.570361,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.192583946057898;0.192583946057898;0.962196886006984][...]],1.738956829,10,1569914100,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 35",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:10.6,6955,5,5,0.147149861,1324.74248,1.74061871,4.263531038,1324.59533,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.539224908011909;0.539224908011909;0.646894888802729][...]],1.661766622,10,1614830319,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 36",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:07.7,6135,5,5,0.063810308,1324.696239,1.926960014,6.218161186,1324.632428,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.663033931475132;0.663033931475132;0.347522677569767][...]],1.545519453,10,1797819590,20
