, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 33, 6309, 0, 2138.9310344827586, 819.07693714601146, 839, 394.09950386218156, 155314.41894441767, 502, 1153, 1316.7214060845838, 293.94328137992386, 295.1463630348797, 1315.5669002478282, 0.21431157080627236, 143.13824282302846, 0.981043135551579
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 34, 6309, 0, 1879.3783783783783, 826.01855429533555, 844, 397.67626526223415, 158146.4119529188, 513.795918367347, 1164.936170212766, 1326.4927856560034, 294.61704478735669, 298.80271202987154, 1323.9408775394438, 0.21651683617456813, 143.12445300074762, 0.98340552143331172
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 35, 6309, 0, 1652.2820512820513, 824.63034200674019, 838, 397.46131550494044, 157975.4973229178, 506, 1168, 1326.5007477494921, 295.42128971989058, 300.01993754941941, 1323.974518934863, 0.216440686311421, 141.97641738051834, 0.98377711155161052
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 36, 6309, 0, 1881.5555555555557, 821.16082876690848, 849.65306122448976, 398.00208077802756, 158405.65630363958, 499, 1156, 1322.0061182958214, 292.12901607688917, 300.4749230714944, 1317.4644237938371, 0.21652998990672781, 138.225240601089, 0.98191538940500778
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 37, 6309, 0, 1872.875, 821.96822163307593, 843, 396.16642363535141, 156947.83521602472, 520, 1160, 1320.822284093922, 291.09413280842978, 294.89281344684025, 1316.2412897199495, 0.21544796239846334, 142.44534822832259, 0.98115606539167743
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 38, 6309, 0, 1736, 802.92921080980079, 813, 391.60908748703469, 153357.67740242797, 506.57142857142856, 1134, 1297.8849502814567, 284.225108797662, 288.41773548743174, 1296.5672439456334, 0.21289738610008144, 131.4508550501439, 0.98049137271156139
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 39, 6309, 0, 2174.3333333333335, 822.17555089339328, 838, 393.6101771063025, 154928.97152165484, 510, 1149.4489795918366, 1321.0088318150254, 300.64004806579533, 304.00380761603259, 1319.41985250522, 0.21422313388407865, 146.51578662300915, 0.98267235719276924
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 40, 6309, 0, 2101, 819.60958867285945, 840.91836734693879, 393.25979289077452, 154653.26470449488, 517, 1169, 1315.0366687728524, 296.34558214676207, 299.34024958379734, 1312.7512966510242, 0.21361053277365788, 145.88196830474249, 0.97880206000012271
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 41, 6309, 0, 1686, 818.87929529180167, 828, 398.39608163192213, 158719.43785966918, 508, 1157, 1325.8953350803608, 294.602426995623, 299.00410963319104, 1319.7929454535565, 0.21676411316433083, 135.20528237150222, 0.98209452630916461
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 42, 6309, 0, 1889.8888888888889, 806.38769147098333, 812, 391.29693126522687, 153113.28841758368, 516, 1130, 1298.7735372222428, 284.97758940002245, 289.76509182230348, 1296.1597183098818, 0.21278824261978435, 135.25357424818344, 0.98104970676979775
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 43, 6309, 0, 2016.625, 823.41785508788394, 847, 396.77138857572078, 157427.53479230561, 511.44680851063828, 1162.0833333333333, 1320.2314769810985, 293.13595214061633, 298.01378050789293, 1317.7503797490012, 0.2156786621390428, 143.1673547013429, 0.98026231650504136
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 44, 6309, 0, 1751, 804.01836832773381, 826, 390.39920090271863, 152411.53606548125, 497, 1130, 1291.9004920681277, 280.32755616266491, 286.47612199679941, 1289.0919315501758, 0.21226648596466591, 134.5298715951775, 0.98073948625730434
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 45, 6309, 0, 1734.3333333333333, 823.78973732497184, 833, 392.63488391991825, 154162.15207080767, 515.0408163265306, 1156, 1318.8539011733762, 301.97732454522429, 303.49048636466921, 1316.5728713015353, 0.21359635716286843, 150.1068268332848, 0.98178989876201217
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 46, 6309, 0, 1785.2105263157894, 821.57606456635745, 823, 391.1733617910217, 153016.59897488955, 519, 1161, 1312.5416898872988, 298.83582488060739, 304.37643108031591, 1308.9780834001276, 0.21256834177016085, 151.13551462327018, 0.97964170394429839
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 47, 6309, 0, 1726, 824.1350963772353, 832, 394.11087834744637, 155323.38443179568, 524, 1158, 1321.4330947625372, 299.21026432682839, 300.11195163459871, 1318.0536238267639, 0.21423412599794683, 148.44066297971096, 0.98027764708041043
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 48, 6309, 0, 2007.4516129032259, 824.26794919297606, 839, 393.68254777026453, 154985.94841888663, 517, 1165.3333333333333, 1315.934085963494, 298.00048850942, 302.26744076927679, 1309.0603511017407, 0.21428448028405495, 148.41469837706677, 0.98287378426529515
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 49, 6309, 0, 1676, 784.17012842668566, 808, 392.35521557794544, 153942.61519121606, 472, 1115, 1279.5435737633854, 264.33426392472967, 268.77760910198407, 1273.656974788591, 0.21365551113988129, 110.30064629150002, 0.98373467521462732
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 50, 6309, 0, 1937.6666666666667, 821.47726807817344, 830.0204081632653, 397.95935462647515, 158371.64793472062, 533.59574468085111, 1175, 1321.9764078589155, 288.22565970406879, 294.12348711787865, 1319.9348755335591, 0.21630514768714365, 139.25083227292237, 0.98008764576424012
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1, 6545, 0, 3001, 1239.5755574767632, 1247, 648.6795344063496, 420785.1383576385, 696, 1803.4545454545455, 2075.3443485567986, 393.36170986130668, 394.21981951124837, 2068.9566397694189, 0.34104891318802638, 123.66351352554079, 0.986909553364826
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2, 6545, 0, 3151, 1241.6459542514817, 1233.6666666666667, 644.87114513169024, 415858.79382345744, 710, 1792, 2073.8275411660684, 401.04152591080481, 405.10579226077493, 2070.3639645143894, 0.33892184729687247, 132.6936698961149, 0.98618330462148285
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3, 6545, 0, 3201, 1148.2442227159497, 1151, 631.50053698077375, 398792.92820700561, 588, 1704, 1964.8550364078048, 325.6296665559218, 328.57356020188115, 1957.9520528946255, 0.33205922437436419, 61.746440563030092, 0.98716115109417046
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4, 6545, 0, 2851, 1238.7057487364389, 1238.75, 638.320602338737, 407453.19137008797, 690, 1773, 2060.6313726716844, 404.04750154824762, 406.65143515699066, 2057.8485382907324, 0.33565233439476511, 140.45131059676737, 0.98720199872607484
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5, 6545, 0, 3001, 1241.2883712393525, 1233, 646.74136229053931, 418274.38969742268, 685, 1815, 2076.5292247101315, 393.48985637709131, 396.26228432335671, 2074.2655522672112, 0.34000455285922271, 128.79347428397591, 0.98676240927556913
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6, 6545, 0, 3361, 1239.370611634369, 1251.25, 649.90538925974158, 422377.01498885616, 669.5, 1766.75, 2075.0593542401284, 394.61508657809179, 395.98105874117658, 2071.8773719909877, 0.34185780516399655, 120.81187313777218, 0.9878593827574097
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 7, 6545, 0, 3378.7777777777778, 1243.6844969905073, 1240.75, 648.40685069684332, 420431.4440305985, 687, 1806, 2087.8304724628292, 402.17568894092551, 404.51298621072323, 2081.5452058468122, 0.34108712982593653, 127.64740820004295, 0.98796118308925374
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8, 6545, 0, 3001, 1245.1744717082488, 1245, 648.3782640457639, 420394.37328699837, 710, 1790, 2080.7642818039808, 399.68961330109863, 404.07053597350273, 2077.8817135861536, 0.34088514548293791, 129.79827568807605, 0.98687844763751442
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9, 6545, 0, 3649, 1242.8676996195622, 1237.5, 647.881122934281, 419749.949454585, 686, 1808.7872340425531, 2079.0350706725262, 400.08606464776904, 402.53922616587175, 2075.1062947408695, 0.3404088633444261, 129.0498987566, 0.9856335367031378
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 10, 6545, 0, 3877.9230769230771, 1238.8550025859313, 1258, 647.85151570975756, 419711.58640743018, 685.76595744680856, 1784, 2072.1350985964241, 393.14516135032045, 395.46354597318089, 2066.5986883354744, 0.34018372635793287, 125.77384994277486, 0.98442019751632148
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 11, 6545, 0, 3151, 1243.625903575386, 1248, 646.682574390989, 418198.35202095693, 683, 1803, 2074.0151009744995, 401.28492589143656, 402.64679510193474, 2070.3312312130879, 0.34000804550617264, 131.11957867918909, 0.98696210096210724
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 12, 6545, 0, 3001, 1153.8386747146487, 1196, 629.62037957729581, 396421.82237905811, 591, 1688, 1976.3687884756173, 340.80085480009609, 344.30372420866297, 1973.4152643174725, 0.33079106068799963, 71.490324143514044, 0.9854949006928535
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 13, 6545, 0, 3097.7741935483873, 1144.5704531767331, 1124, 631.65408060057473, 398986.87753935729, 593, 1681, 1966.1028709633147, 329.50805185675739, 332.66236269449837, 1963.5582504442013, 0.331938082412153, 58.469047524168445, 0.98596149607482275
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 14, 6545, 0, 3001, 1239.2280811420439, 1243, 640.95277225236384, 410820.45625799056, 714.3478260869565, 1773, 2065.5030945836274, 402.24536919329955, 405.72763652930342, 2062.4013734335808, 0.33707001995530966, 136.33497584827069, 0.98739880830887738
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 15, 6545, 0, 3201, 1243.5868286179036, 1262, 645.54964331638223, 416734.34198590828, 692, 1784, 2077.0032448867728, 401.84676771277327, 402.28292831295988, 2073.851558568063, 0.33957452779318409, 132.49897367860535, 0.98790532346010462
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 16, 6545, 0, 3001, 1238.8460922510633, 1257.8461538461538, 647.48266269031342, 419233.79848453816, 682, 1774.1702127659576, 2078.1167191150912, 396.53818359126666, 398.80457049418396, 2075.6314139286937, 0.34041435669834441, 125.01031713408042, 0.98687887672816488
