,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 12",50,35,6135,518,00:00.0,1440.720129,2075674.49,35,385,1855.833333,35,39.16666667,1665.769231,38.27370948,-419.7058824,0.149968759
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 12",50,21,6471,714,00:00.0,1721.740043,2964388.776,171,321,2446,21,46,2247.923077,53.25090036,-590.6470588,0.203272058
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 13",50,4,5784,821.8,00:00.0,2022.469737,4090383.837,4,3.40E+01,3388.166667,4,4,3125.923077,7.50E+01,-1016.141176,0.292365361
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 7",40,182,10982,3467,00:00.0,3585.837527,12858230.77,482,7382,8822,332,332,7802,246.0787992,-1331.536585,0.643620375
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 12",50,55,6955,1249,00:00.0,2036.945492,4149146.939,55,1855,3980,55,55,3539.615385,90.07923169,-957.9411765,0.41557505
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 13",50,35,6135,497,00:00.0,1442.983021,2082200,35,285,1772.5,35,43.33333333,1608.076923,3.74E+01,-419.4705882,0.142804334
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 13",50,21,6471,1077,00:00.0,2048.185857,4195065.306,21,921,3821,21,46,3447.923077,82.60264106,-946.7647059,0.345627329
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 14",50,4,5784,589.7,00:00.0,1749.037931,3059133.684,4,2.40E+01,2426.916667,4,4,2241.307692,5.51E+01,-759.9647059,0.210804604
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 13",50,55,6955,847,00:00.0,1672.812614,2798302.041,55,955,2855,55,80,2085.769231,52.03361345,-427.8235294,0.205604359
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 14",50,35,6135,809,00:00.0,1987.235799,3949106.122,85,85,3151.666667,35,43.33333333,2873.461538,68.52821128,-869.9411765,0.252696323
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 14",50,21,6471,612,00:00.0,1537.314449,2363335.714,21,321,2233.5,21,21,1924.846154,45.64465786,-506.2941176,0.187332629
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 15",50,4,5774,703.7,00:00.0,1891.362054,3577250.418,4,2.40E+01,2901.083333,4,4,2678.615385,66.29843938,-920.6117647,0.26110561
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 8",40,182,10982,3587,00:00.0,3346.559657,11199461.54,782,4082,8282,302,302,8282,253.3958724,-1354.219512,0.783546062
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 14",50,55,6955,1441,00:00.0,2039.108449,4157963.265,55,2155,4155,55,105,3862.692308,99.50060024,-996.7647059,0.505975732
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 15",50,35,6135,846,00:00.0,1974.513373,3898703.061,85,185,3210,39.16666667,43.33333333,2946.538462,73.16446579,-946.5294118,0.291769027
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 16",50,4,5784,244.1,00:00.0,1142.351893,1304967.847,4,2.40E+01,988.5833333,4,4.416666667,907.8461538,18.23601441,-202.6823529,0.054152558
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 15",50,21,6471,573,00:00.0,1466.077649,2149383.673,21,321,1933.5,21,33.5,1682.538462,39.515006,-395.1176471,0.1543722
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 15",50,55,6955,823,00:00.0,1370.30311,1877730.612,55,6.55E+02,2555,55,105,2062.692308,48.1152461,-355.8235294,0.261993834
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 16",50,35,6135,608,00:00.0,1649.43435,2720633.673,35,185,2255.833333,35,43.33333333,2050.384615,4.89E+01,-589.1176471,0.186479185
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 9",40,182,10982,3767,00:00.0,3940.880417,15530538.46,482,7382,9842,302,302,9332,286.0412758,-1810.804878,0.720001666
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 17",50,4,5784,360.1,00:00.0,1383.424946,1913864.582,4,2.40E+01,1469,4,4.416666667,1352.461538,3.18E+01,-419.7294118,0.112490224
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 16",50,21,6471,720,00:00.0,1638.86129,2685866.327,21,471,2608.5,21,46,2155.615385,54.04321729,-604.0588235,0.231077112
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 16",50,55,6955,847,00:00.0,1426.260989,2034220.408,55,655,2705,55,105,2039.615385,48.57623049,-343.1176471,0.246495246
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 17",50,35,6135,530,00:00.0,1434.816706,2058698.98,35,435,1855.833333,35,43.33333333,1700.384615,37.7695078,-395.3529412,0.147247773
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 18",50,4,5774,247.7,00:00.0,1139.59526,1298677.357,4,39,995.25,4,4.416666667,915.5384615,1.85E+01,-204.6588235,0.055781685
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 17",50,21,6471,702,00:00.0,1536.955976,2362233.673,171,471,2321,33.5,46,2063.307692,49.39015606,-508.0588235,0.219440546
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 17",50,55,6955,943,00:00.0,2061.566672,4250057.143,55,355,3455,55,105,2916.538462,70.53061224,-785,0.248725019
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 10",40,182,10982,3302,00:00.0,3423.089023,11717538.46,482,3782,8222,332,332,8222,248.7804878,-1549.219512,0.721869752
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 18",50,35,6135,823,00:00.0,1970.045063,3881077.551,35,185,3143.333333,35,35,2900.384615,66.50660264,-806.4117647,0.24217881
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 19",50,4,5774,704.9,00:00.0,1890.929393,3575613.969,4,2.40E+01,2906.5,4,4.416666667,2677.846154,67.99063625,-960.8705882,0.274730274
