,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 67",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,14:34.6,10982,1,10,8,0.000318861,1331,2.602161649,0.641638454,1330.999681,[[1;0;0][6.12303173970457E-17;1.70995436221284E-20;2.84943371277815][6.12303176911189E-17;2.94620339650057;0][...]],1.109635814,5,1619951130,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 54",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,14:35.2,10982,3,10,8,2.379444774,1331,4.453579801,1.726760986,1328.620555,[[1;0;0][6.1230317691104E-17;1.90585078134075E-22;4.47201006482383][6.12303176911189E-17;5.71101773445495;0][...]],1.142001983,5,967353283,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 69",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,14:36.9,10982,0,10,8,1.393036773,1331,3.725228581,0.314683726,1329.606963,[[1;0;0][6.12303176911189E-17;1.71152807463801;0][6.12303176911189E-17;0;1.01370050677215][5.93102819623969E-17;1.82963254151682E-17;1.20265911453898][...]],0.522235515,5,239222632,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 68",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,14:36.1,10982,1,10,8,1.533934679,1331,1.50455037,0.552459659,1329.466065,[[1;0;0][6.12303176911189E-17;3.03522441219111;0][6.12303176911189E-17;0;1.0079128999222][3.74915180455534E-33;6.17139028207692E-17;1.00789780533379][...]],0.629568049,5,1330479739,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 55",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,14:35.5,10982,3,10,8,2.98381119,1331,1.29146263,0.791133826,1328.016189,[[1;0;0][6.12303176911189E-17;2.93936773090545;0][6.12293738987292E-17;7.84160368594998E-19;2.30658823805649][...]],1.139246981,5,585469861,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 70",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,14:35.4,10982,0,10,8,2.916701105,1331,3.795128977,1.81560582,1328.083299,[[1;0;0][6.07991266279919E-17;5.0205216159253;0.598988787532219][6.12303176875626E-17;2.8804803551654E-21;4.36486531604555][...]],0.932608876,5,535825197,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 69",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,14:35.2,10982,1,10,8,1.043184612,1331,∞,0.148500006,1329.956815,[[1;0;0][6.12303176911189E-17;0;1.0136601151248][3.74915180455534E-33;6.20667308799077E-17;1.0136601151248][...]],0.669272846,5,1394077766,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 56",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,13:20.4,10982,3,10,8,3.69E-07,1331,3.411870882,0.942635736,1331,[[1;0;0][3.74915180455534E-33;6.19040354264554E-17;1.0110030089789][6.12303176911189E-17;0;1.0110030089789][...]],0.963480504,5,197554310,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 57",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,12:18.2,10982,3,10,8,1.757881026,1331,2.033514893,0.960113526,1329.242119,[[1;0;0][6.1230264380712E-17;3.32248216330164E-19;4.11205107294101][6.12299189840873E-17;1.91957284765338;0.0069273225238155][...]],0.635395612,5,1108380176,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 58",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,12:15.7,10982,3,10,8,1.084787371,1331,2.352112239,1.212785235,1329.915213,[[1;0;0][6.11918903706461E-17;6.52541602779254E-18;3.00855565592944][6.12303071607313E-17;5.44698349671087;0.00319455253667966][...]],1.37477674,5,980411741,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 59",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,12:15.6,10982,3,10,8,7.298473491,1331,2.259060127,1.809840492,1323.701527,[[1;0;0][6.12303176911189E-17;7.21781704163884;3.90566772325048E-110][6.12303176911189E-17;0;1.01134381084339][...]],2.449676182,5,23875009,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 60",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,12:17.4,10982,3,10,8,1.298832547,1331,1.979668181,1.261199408,1329.701167,[[1;0;0][6.12303176911125E-17;4.50924611251888;2.05501820948872E-06][6.12190953503586E-17;5.29071754310779E-18;4.51330306105208][...]],0.746510273,5,1616283267,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 61",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,12:15.3,10982,3,10,8,2.35E-05,1331,1.999378953,0.805153312,1330.999977,[[1;0;0][6.12300629562292E-17;6.39438566798245E-19;3.62040209894967][3.74915180455534E-33;6.23324846944311E-17;1.01800034761982][...]],0.575548851,5,1131130658,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 62",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,12:22.3,10982,3,10,8,2.566332089,1331,4.371380933,2.376195502,1328.433668,[[1;0;0][6.12303176880234E-17;4.43770298900164E-21;7.20776189139068][3.74915180455534E-33;6.17743033466355E-17;1.00888425335731][...]],1.115921697,5,154464141,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 63",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,12:21.5,10982,3,10,8,1.038302942,1331,1.91689139,0.491795925,1329.961697,[[1;0;0][6.1230288339981E-17;3.61616137388561;0.00354072479245113][5.9462057998793E-17;1.60641263862523E-17;1.09962390049606][...]],0.962242188,5,709474097,10
