,Absolute Distance to BestKnownHypervolume,Best known hypervolume,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,Execution Time,Generational Distance,Hypervolume,Pareto Front,ProblemSize,Seed,Spacing,TestFunction
NSGA-II Run 104,0.015039606,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.189207765,[[0;1]],50,00:25.4,0.001211434,128.7630765,[[0;1][0.851813386990475;-0.773368852356718][0.257771733343603;0.242161097064032][0.453882091106983;-0.124218444748547][...]],50,1445118791,0.039660522,ZDT3
NSGA-II Run 93,0.02067747,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.138216957,[[0;1]],50,00:32.6,0.000543235,120.6459892,[[1;1.13766352624272E-05][0;1.00002275368069][0.321515749903465;0.432992714424075][0.259099248586096;0.490999037380912][...]],50,1615917890,0.015564748,ZDT1
NSGA-II Run 101,0.07360813,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.114997448,[[0;1]],30,00:24.2,0.002464116,117.4449671,[[0.28077531958943;0.924128783163241][1;0.00548802280507915][0.312431866403837;0.905407404687955][0.866660132299619;0.253721099115922][...]],30,445767065,0.014374985,ZDT6
NSGA-II Run 105,0.020516107,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.140126823,[[0;1]],50,00:21.9,0.00033823,120.3128172,[[0;1.00000411091786][1;8.2218189143647E-06][0.589866210896177;0.652063414740468][0.5;0.750005142577067][...]],50,1814002756,0.014846781,ZDT2
NSGA-II Run 105,0.013895764,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.19642509,[[0;1]],50,00:22.1,0.001221026,128.7642204,[[0;1.00000000000005][0.851833938625708;-0.773369011841004][0.823338474449289;-0.458399794249963][0.652475922255471;-0.458262911226704][...]],50,937471100,0.040978054,ZDT3
NSGA-II Run 94,0.019732318,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.137750625,[[0;1]],50,00:27.4,0.000466965,120.6469343,[[1;2.46582630489164E-05][0;1.00004931951522][0.0158177798923819;0.874302561493166][0.00445614049818247;0.933293360676491][...]],50,1662757720,0.016746376,ZDT1
NSGA-II Run 106,0.012743667,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.189391486,[[0;1]],50,00:17.3,0.001367685,128.7653725,[[0;1.00000000173119][0.851823365276567;-0.773368973340897][0.618446859478582;-0.125091940233103][0.453874831854401;-0.1242184316195][...]],50,1228537985,0.027766895,ZDT3
NSGA-II Run 95,0.02224257,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.141481727,[[0;1]],50,00:24.6,0.000355798,120.6444241,[[0;1.000005118881][1;2.55221327986138E-06][0.00503900733762176;0.929018974156265][0.0634472041255627;0.748117181182349][...]],50,894091259,0.011947991,ZDT1
NSGA-II Run 96,0.027695144,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.142680748,[[0;1]],50,00:24.0,0.000853348,120.6389715,[[0;1.00121805237498][1;0.000609118126039109][0.214064827956914;0.538264930386873][0.89700541997084;0.0535368955732067][...]],50,160496828,0.015802274,ZDT1
NSGA-II Run 97,0.018112411,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.139570021,[[0;1]],50,00:24.0,0.00035638,120.6485543,[[1;1.81359491684044E-06][0;1.00000362726224][0.406972377881101;0.362058672229471][0.709767105840887;0.157525370567316][...]],50,1128180422,0.014976335,ZDT1
NSGA-II Run 98,0.021322911,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.140774789,[[0;1]],50,00:23.9,0.000474319,120.6453438,[[0;1.00001361368359][1;6.81187292605012E-06][0.8313174270489;0.0882413057253933][0.0244466458645686;0.843658321661849][...]],50,368924570,0.020827391,ZDT1
NSGA-II Run 99,0.020273026,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.143590573,[[0;1]],50,00:23.8,0.000437543,120.6463936,[[0;1.00000159582501][1;7.90751803389213E-07][0.736389422524907;0.141869582817149][0.655660925887456;0.190272037970849][...]],50,570704260,0.021695353,ZDT1
NSGA-II Run 100,0.020413698,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.143148868,[[0;1]],50,00:23.8,0.000426463,120.646253,[[1;4.01605504317427E-06][0;1.00000594598754][0.658641879120836;0.188437653315633][0.749509791769467;0.134265008633959][...]],50,1503868001,0.01724765,ZDT1
NSGA-II Run 101,0.020766757,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.140162977,[[0;1]],50,00:23.8,0.00028542,120.6458999,[[0;1.00001552951241][1;7.00702141129078E-06][0.148822606998031;0.614238074780908][0.571793852865022;0.243840040042785][...]],50,1519369904,0.019290169,ZDT1
NSGA-II Run 102,0.02096924,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.139842602,[[0;1]],50,00:23.7,0.000761465,120.6456974,[[0;1.00001427866675][1;7.13886423556724E-06][0.0357004789837308;0.811067230260081][0.00836823224306124;0.908535588496856][...]],50,197550399,0.022008913,ZDT1
NSGA-II Run 103,0.020197343,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.138803197,[[0;1]],50,00:23.7,0.000480481,120.6464693,[[0;1.00023925775058][1;0.00011962667618925][0.00335497792105989;0.942310155437222][0.529472472075505;0.272503615435928][...]],50,667571128,0.020867473,ZDT1
NSGA-II Run 104,0.019569961,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.141852616,[[0;1]],50,00:23.7,0.000390604,120.6470967,[[0;1.00000665512584][1;3.31691222156127E-06][0.202123466059841;0.550423738297814][0.934989326134496;0.0330549808010803][...]],50,1690984941,0.016925008,ZDT1
NSGA-II Run 105,0.0204028,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.139116995,[[0;1]],50,00:23.7,0.000343142,120.6462639,[[1;1.12850528398133E-05][0;1.00002257139537][0.584167838575394;0.23570521064932][0.480481697547449;0.306847913873983][...]],50,1467377556,0.022279866,ZDT1
NSGA-II Run 106,0.020634659,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.139646382,[[0;1]],50,00:23.7,0.000507368,120.646032,[[0;1.00000239809497][1;1.35680998411195E-05][0.557048040621444;0.253665446176754][0.639845971173519;0.200115261001544][...]],50,880935923,0.016959702,ZDT1
