,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,35,6135,1345,185,2420.870142,5860612.245,85,285,5160,43.33333333,43.33333333,4785,119.0876351,-1572.647059,0.514220383
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 19",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 4",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 3",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 20",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 3",50,35,6135,1365,185,2412.256121,5818979.592,85,385,5176.666667,43.33333333,43.33333333,4808.076923,120.0480192,-1576.176471,0.52628634
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 5",50,55,6955,1939,955,2578.590028,6649126.531,355,1555,6055,105,105,5662.692308,142.1848739,-1544.529412,0.646102069
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 4",50,21,6471,1551,321,2507.05128,6285306.122,21,921,5546,21,21,5190.230769,132.5330132,-1696.058824,0.59385531
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",50,4,5779,1170.2,19,2327.836773,5418824.041,4,44,4823.166667,4,4.833333333,4455.538462,111.2590636,-1555.647059,0.485427847
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 4",50,35,6135,1335,185,2426.259404,5886734.694,35,285,5160,35,35,4785,119.5678271,-1594.411765,0.516075385
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 6",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 5",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",50,4,5779,1165.9,14,2329.977203,5428793.765,9,24,4819.833333,4,4.416666667,4450.923077,111.0672269,-1555.247059,0.482866913
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 5",50,35,6135,1335,135,2426.890174,5889795.918,35,335,5168.333333,35,35,4796.538462,120.0480192,-1606.176471,0.519958503
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 7",50,55,6955,1795,655,2644.671192,6994285.714,55,1255,6005,55,55,5639.615385,144.057623,-1734.411765,0.630504303
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 6",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",50,4,5784,1168.8,14,2331.065483,5433866.286,4,44,4827.333333,4,4,4457.846154,111.3382953,-1558.988235,0.48477378
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 6",50,35,6135,1345,135,2421.502317,5863673.469,85,335,5168.333333,43.33333333,43.33333333,4796.538462,119.5678271,-1584.411765,0.518105056
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 8",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
