,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 16",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.1,6471,5,5,2.838876776,0.3352687,3.994134779,114.6796984,[[0.999936011878411;0.265277936812485][0.280775318815369;1.0812822349902][0.702042217522627;0.709509681578223][...]],0.040029025,10,497282624,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 17",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.6,6955,5,5,4.260375431,0.314004099,3.135260316,113.2581998,[[0.280775318815369;1.1530324486791][0.999991886851621;0.400324497402887][0.828096094890673;0.659864459387142][...]],0.042329912,10,2057730074,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 17",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:44.3,5784,5,5,17.09886216,0.316123564,5.22658454,100.419713,[[0.28077531881537;2.0531069989927][0.999999999985327;1.61252930949716][0.430280812323344;2.00226262643082][...]],0.052031441,10,1695197024,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 17",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.0,6135,5,5,0.344048512,0.270620431,4.801057896,117.1745267,[[0.990637246891549;0.0281239139602066][0.280775318815369;0.956132268062744][0.603981261294542;0.681582995643526][...]],0.039784938,10,861739095,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 17",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.4,6471,5,5,2.421133876,0.366619046,3.377674945,115.0974413,[[0.280775318815369;1.0490880066399][1;0.226255704259299][0.936871084057675;0.335476381879803][0.802313558991552;0.544514935722824][...]],0.075148629,10,432175509,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 18",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:43.7,5784,5,5,7.622104529,0.418504108,4.596000658,109.8964707,[[0.999999751728947;0.719124941493309][0.280775318816219;1.36706258099332][0.53488417094839;1.22118650107526][...]],0.065897663,10,1561460239,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 18",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.1,6955,5,5,2.26893227,0.33838797,3.316367387,115.2496429,[[0.999999999999308;0.212108352823346][0.280775318815369;1.04082406872664][0.452923114815298;0.927264611402258][...]],0.039121989,10,889455232,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 18",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.1,6135,5,5,4.104106814,0.399091285,3.821648732,113.4144684,[[0.280775318815369;1.14328251510149][0.999993368593885;0.38615621104364][0.664754579496843;0.833665783149469][...]],0.044752874,10,2037368048,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 18",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.4,6471,5,5,3.997690992,0.452392158,3.439298856,113.5208842,[[0.999999712509241;0.375325910720723][0.280775318815369;1.13970241281407][0.590960157197493;0.915328702544522][...]],0.037093805,10,1858448177,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 19",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:43.4,5784,5,5,2.968757225,0.51368324,4.188206599,114.549818,[[0.280775318815372;1.08029142831488][1;0.278517229420081][0.70977311342796;0.710424654849474][0.950950566214746;0.361807602579673][...]],0.07285471,10,1275329785,20
