,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 19",7017,1210,1331,1329.908734,51:30.1,2.044940598,4.181782048,1329.334683,1330.999694,1330.999971,1327.826837,1329.346817,1330.303017,0.000172693,1329.302926,0.029266659
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 18",9028,1218.948255,1331,1329.188495,07:51.5,2.572400156,6.617242561,1328.435145,1.33E+03,1330.993159,1326.615021,1328.285107,1329.745097,0.000218817,1328.200865,0.049151204
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 20",5985,1210.007805,1331,1330.808729,59:59.7,1.689088182,2.853018886,1330.999224,1.33E+03,1331,1330.234913,1330.71103,1330.835326,3.49E-05,1330.704214,0.001276857
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 16",6387,1297.123226,1331,1330.432879,17:02.9,0.74296442,0.55199613,1330.152072,1330.851626,1330.964156,1329.804622,1330.189812,1330.519732,6.95E-05,1330.21103,0.029734534
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 14",6260,1210.012824,1331,1330.642735,15:19.8,1.566497007,2.453912872,1330.421933,1330.995902,1330.999602,1330.07144,1330.577594,1330.641922,1.57E-05,1330.593571,0.000328485
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5866,1237.068403,1331,1330.96635,00:00.0,1.734484254,3.008435626,1331,1.33E+03,1331,1330.865354,1330.870707,1330.999003,3.29E-05,1330.869871,0.001031876
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 17",6387,1242.070687,1331,1330.477994,13:42.6,1.18193468,1.396969588,1330.217191,1330.878537,1330.976707,1329.884953,1330.347889,1330.550289,4.06E-05,1330.348419,0.004008112
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 15",6260,1210.000006,1331,1330.587985,33:41.8,2.670005179,7.128927658,1330.405995,1.33E+03,1330.999696,1329.850991,1330.34758,1330.691561,7.73E-05,1330.345965,0.002740106
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 20",7017,1213.426852,1331,1329.627538,54:44.1,6.770106173,45.83433759,1329.47118,1.33E+03,1330.999979,1326.490804,1328.04853,1330.055551,0.000418905,1328.158019,0.015711735
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 19",9028,1214.101748,1331,1329.032294,28:29.6,3.568200946,12.73205799,1328.385265,1330.938288,1330.992307,1325.778428,1327.340521,1329.573325,0.000340628,1327.494871,0.061902944
