, Absolute Distance to BestKnownHypervolume, Best known hypervolume, BestKnownFront, Crowding, Encoding.ProblemSize, Execution Time, Generational Distance, Hypervolume, Pareto Front, ProblemSize, ReferencePoint, Seed, Spacing, TestFunction
NSGA-II Run 42, 0.12740126352377956, 1330.9806726459587, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 2.0691806205318355, 15, 00:06:32.1397822, 1.7951133269227322, 1330.853271382435, [[1;0;0][6.12303176911189E-17;1.00004118216559;0][3.74915180455534E-33;6.12328753927406E-17;1.00004177181694][...]], 15, [11;11;11], 591486656, 12.494749854315929, DTLZ3
NSGA-II Run 43, 1.0901144531189857, 1330.9924872729748, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 0.39254656554651729, 15, 00:13:58.1184345, 2.29562582797747, 1329.9023728198558, [[1;0;0][3.74915180455534E-33;2.46593825690101E-16;4.02731579695639][6.12303176911189E-17;0;4.13538113797769][...]], 15, [11;11;11], 672699046, 0.18687912707219514, DTLZ3
NSGA-II Run 5, 0.16786253325335565, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.44250725602897767, 70, 00:14:41.6726462, 0.70276823939883459, 1330.8321374667466, [[1;0;0][6.12303176911189E-17;5.14124410749938;1.74690912420198E-91][6.12303176911181E-17;5.6422422086695E-23;5.68245632749242][...]], 70, [11;11;11], 1052061075, 0.29998654278803388, DTLZ4
NSGA-II Run 44, 3.9853578433508119, 1330.9567049685993, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 9.6292878424508981, 15, 00:06:21.5811474, 11.110387593034496, 1326.9713471252485, [[1;0;0][6.12303176911189E-17;4.2945837560284;0][3.74915180455534E-33;2.62958774136947E-16;4.29458451389169][...]], 15, [11;11;11], 1799042384, 59.349023828068326, DTLZ3
NSGA-II Run 45, 0.28133829605553728, 1330.9992854436878, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 3.2796820036447705, 15, 00:07:07.5165226, 2.9179658361768088, 1330.7179471476322, [[1;0;0][3.74915180455534E-33;6.2466021877418E-17;1.02018124734438][6.12303176911189E-17;1.02018124734438;0][...]], 15, [11;11;11], 1523791326, 20.283256871619198, DTLZ3
NSGA-II Run 46, 0.07839149988058125, 1330.9962053611046, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 1.214219993368032, 15, 00:14:47.8341555, 1.0085584508672365, 1330.917813861224, [[1;0;0][6.12303176911189E-17;0;26.0041649346514][3.74915180455534E-33;6.14860387186709E-17;1.00417637923817][...]], 15, [11;11;11], 162748195, 0.03537992313844962, DTLZ3
NSGA-II Run 47, 4.3028377901400745, 1330.9567049685993, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 8.25989923479246, 15, 00:06:38.3616444, 10.744305704159313, 1326.6538671784592, [[1;0;0][6.12303176911189E-17;5.997561108725;0][3.74915180455534E-33;3.67232684200833E-16;5.99756294019846][...]], 15, [11;11;11], 52310695, 49.593405007014788, DTLZ3
NSGA-II Run 48, 0.19161584584617231, 1330.9931217658298, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 0.12658427762525992, 15, 00:06:29.3599445, 0.011124151304309209, 1330.8015059199836, [[1;0;0][3.74915180455534E-33;6.15396328592689E-17;1.00505166688356][6.12303176911189E-17;1.00505174068302;0][...]], 15, [11;11;11], 719313161, 0.050006237248108772, DTLZ3
NSGA-II Run 49, 0.14143604894888995, 1330.9972168699824, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 0.12544998807969393, 15, 00:06:16.0831351, 0.0096452083654373078, 1330.8557808210335, [[1;0;0][6.12303176911189E-17;1.00073459355203;0][3.74915180455534E-33;6.12752943794641E-17;1.00073454932199][...]], 15, [11;11;11], 392033214, 0.044609795705917873, DTLZ3
NSGA-II Run 50, 1.19823233207444, 1330.9567049685993, [[1;0;0][0.0157073173118198;0;0.999876632481661][0.000246719817134193;0.0157053795390632;0.999876632481661][...]], 3.768611206963957, 15, 00:13:55.4144163, 4.1843640237701605, 1329.7584726365249, [[1;0;0][3.74915180455534E-33;1.35018407623795E-16;2.20509075757056][6.12303176911189E-17;2.20509116039145;0][...]], 15, [11;11;11], 483205678, 19.771910441769023, DTLZ3
NSGA-II Run 6, 0.14185529622045578, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.26607370755301862, 70, 00:08:14.8066975, 0.42547701970846707, 1330.8581447037795, [[1;0;0][3.74915180455534E-33;6.18685007818153E-17;1.01042266502545][6.06745143953885E-17;1.22397895463758E-17;1.48697248153207][...]], 70, [11;11;11], 178227583, 0.10629987908167939, DTLZ4
NSGA-II Run 7, 0.02283866006291646, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.15105951176703988, 70, 00:06:51.9092193, 0.077400591745581962, 1330.9771613399371, [[1;0;0][5.63354227186037E-17;2.73470134640748E-17;1.13998155352054][3.74915180455534E-33;6.17808482722066E-17;1.00899114363353][...]], 70, [11;11;11], 609448980, 0.10770113157870842, DTLZ4
NSGA-II Run 8, 0.09980766988473988, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.25375377363977469, 70, 00:07:12.1712335, 0.2098397582929992, 1330.9001923301153, [[1;0;0][3.74915180455534E-33;6.15962000346478E-17;1.00597550947514][6.12303153042028E-17;1.62133628367341;0.000452713481569934][...]], 70, [11;11;11], 1686113393, 0.21384308832737906, DTLZ4
NSGA-II Run 9, 0.18229741200207172, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.38222120167030249, 70, 00:06:41.4598586, 0.50477689473771814, 1330.8177025879979, [[1;0;0][3.74915180455534E-33;6.15923582080972E-17;1.005912765614][6.12303176911189E-17;0;4.08309350705585][...]], 70, [11;11;11], 991667522, 0.43827184883149822, DTLZ4
NSGA-II Run 10, 0.15394978395670478, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.40146706470896432, 70, 00:06:49.4886506, 0.42297845672689988, 1330.8460502160433, [[1;0;0][6.12303176911189E-17;0;2.21665583137437][0.477448936606445;8.9321993221074;0][3.74915180455534E-33;6.16546011190358E-17;1.00692930306286][...]], 70, [11;11;11], 1669202943, 0.6759211004631368, DTLZ4
NSGA-II Run 11, 0.15871834471090551, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.28297118228146306, 70, 00:06:37.5389499, 0.31674117171442523, 1330.8412816552891, [[1;0;0][6.12300882476973E-17;2.37302332280767E-19;1.41568409887479][3.74915180455534E-33;6.15487174589677E-17;1.00520003455568][...]], 70, [11;11;11], 1375379693, 0.25840543197124083, DTLZ4
NSGA-II Run 12, 0.24225599980059087, 1331, [[1;0;0][0.148995292019639;0;0.988837905298933][0.0221995970440176;0.147332192460103;0.988837905298933][...]], 0.26315124148624447, 70, 00:10:01.6460508, 0.21715087680940059, 1330.7577440001994, [[1;0;0][3.74915180455534E-33;6.17155234614755E-17;1.0079242732792][6.12287304216144E-17;4.15792511509811;0.0299393374154291][...]], 70, [11;11;11], 554967376, 0.39119709978273659, DTLZ4
