,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 53",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:27.0,10982,0,10,8,2.967196275,1331,2.574614016,1.279063947,1328.032804,[[1;0;0][6.12303176881298E-17;4.02075039594424;3.97290613305058E-05][3.74915180455534E-33;6.21141263155627E-17;1.01443416689265][...]],0.533548764,5,1582288380,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 52",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:25.6,10982,1,10,8,1.040430459,1331,7.739103014,1.724885731,1329.95957,[[1;0;0][6.12302413636907E-17;8.46649831606236E-19;8.75720250714192][3.74915180455534E-33;6.23266019879938E-17;1.01790427255996][...]],1.89985446,5,1785763090,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 55",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:15.1,5864,0,3,3,0.000307072,1331,0.570897939,0.795425265,1330.999693,[[3.74915180455534E-33;6.30146300762506E-17;1.02914099505629][1;0;0][6.12303176911189E-17;0;4.80247851070276][...]],0.408995845,16,1891479075,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 56",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:15.6,5864,1,3,3,6.37E-10,1331,0.667577772,0.751364309,1331,[[1;0;0][3.74915180455534E-33;6.45516355863137E-17;1.05424302895094][6.05542321141648E-17;4.52387556405272E-17;4.98555736144501][...]],0.366067569,16,1210126965,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 56",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:13.5,5864,0,3,3,4.23E-10,1331,0.367841713,0.315546405,1331,[[6.12303176911189E-17;1.3644672632665;0][6.12302954383474E-17;1.8415826308909E-19;3.52777551103176][3.74915180455534E-33;6.52143064575648E-17;1.06506562298996][...]],0.28555204,16,996358869,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 57",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:14.6,5864,1,3,3,3.12E-11,1331,0.93163304,1.273470259,1331,[[6.12303176911189E-17;8.50233565718068;0][6.12303154957835E-17;8.35244135470364E-20;5.09406810471207][...]],0.458321142,16,40251491,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 57",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:15.7,5864,0,3,3,0.000604785,1331,0.54749515,0.407090872,1330.999395,[[6.1113074076483E-17;1.26400258812138E-17;3.33743722238843][1;0;0][3.74915180455534E-33;6.45294181500377E-17;1.05388017869777][...]],0.273236423,16,1678465365,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 58",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:17.1,5864,1,3,3,1.79E-06,1331,0.910134464,1.306322916,1330.999998,[[1;0;0][3.74915180455534E-33;6.46628301046055E-17;1.05605903321949][6.11876353470783E-17;1.13992729780913E-17;4.98689777802323][...]],0.330714111,16,226785015,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 54",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:28.6,10982,0,10,8,2.954395053,1331,2.963648457,1.442534503,1328.045605,[[1;0;0][5.9597940338991E-17;4.13804832530199E-17;2.94646319554344][6.12303176911097E-17;4.04091465737027;2.20956920804436E-06][...]],0.711646057,5,853170984,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 53",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:30.2,10982,1,10,8,0.831603351,1331,3.243358308,1.072746087,1330.168397,[[1;0;0][6.12303176911189E-17;4.78882038825656;6.16838400821237E-08][6.123031767627E-17;2.65652386552175E-21;1.97001018453013][...]],0.612918814,5,1054834917,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 58",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:15.2,5864,0,3,3,5.41E-05,1331,0.696239726,0.807619056,1330.999946,[[6.11036282689745E-17;3.93870372620182E-17;10.0048283987114][6.12303176911189E-17;2.1453294955642;0][...]],0.989408496,16,2048912909,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 59",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:15.8,5864,1,3,3,2.92E-06,1331,0.662403818,0.942991835,1330.999997,[[1;0;0][3.74915180455534E-33;6.49952801382667E-17;1.06148853360749][6.12302959612831E-17;2.83748020255794E-19;5.50055362383681][...]],0.309569142,16,2041385153,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 59",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:14.9,5864,0,3,3,4.89E-11,1331,0.469888021,0.678377247,1331,[[6.12303176911189E-17;1.33389071721028E-40;3.9191892233908][3.74915180455534E-33;6.708174746586E-17;1.09556425632575][...]],0.202009604,16,730608382,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 60",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:14.1,5864,1,3,3,2.71E-10,1331,0.724969076,1.183721937,1331,[[1;0;0][6.12303176868124E-17;3.7896603378638E-21;5.21847475320936][6.12303176911189E-17;6.74847225096886;2.9944073605448E-169][...]],0.389240484,16,858079789,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 60",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:20.5,5864,0,3,3,6.01E-05,1331,0.544714262,0.758749532,1330.99994,[[1;0;0][6.10917747316722E-17;4.28873575787592;0.288995598344446][6.12303176911189E-17;0;3.08515667914723][...]],0.216546046,16,1507821447,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 61",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:14.5,5864,1,3,3,0.023921523,1331,0.424350821,0.550552367,1330.976078,[[3.74915180455534E-33;6.62595131028946E-17;1.08213570664692][5.80354692537176E-17;5.92476395677011E-17;3.03520468247846][...]],0.195967587,16,1051310610,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 55",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:26.5,10982,0,10,8,1.960230649,1331,2.405447179,0.846635434,1329.039769,[[1;0;0][6.123031739573E-17;1.54781843735843E-20;2.57350333377517][3.74915180455534E-33;6.19841504260394E-17;1.01231142942493][...]],0.482466937,5,358320406,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 54",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:28.4,10982,1,10,8,0.159089348,1331,3.22096329,1.200925463,1330.840911,[[1;0;0][5.88880817120825E-17;1.99927783949972E-17;1.19193633766195][3.74915180455534E-33;6.20212271374876E-17;1.01291695807228][...]],0.436586805,5,217836037,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 62",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:08.4,5864,1,3,3,6.82E-13,1331,1.117635353,1.778106202,1331,[[3.74915180455534E-33;6.59996138701019E-17;1.07789108988528][6.12303176741828E-17;1.59698795031541E-20;11.0891290407175][...]],0.820595895,16,1615274398,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 61",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:12.3,5864,0,3,3,1.02E-10,1331,0.582616419,0.564778499,1331,[[3.74915180455534E-33;6.49402338552878E-17;1.06058952989406][1;0;0][0.0427743493003651;3.68878963112498;2.30444251260896E-103][...]],0.297739601,16,2135938859,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 63",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:11.6,5864,1,3,3,2.16E-08,1331,0.818167184,1.611295377,1331,[[6.12303176790075E-17;6.58789312463172E-21;5.40942731190095][3.74915180455534E-33;6.505678454525E-17;1.06249300997316][...]],0.245412981,16,2032395921,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 62",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:13.2,5864,0,3,3,2.25E-11,1331,0.582907221,0.543986008,1331,[[6.12303176897796E-17;5.16199983750414;3.41413975563185E-05][3.74915180455534E-33;6.59992869651462E-17;1.07788575094588][...]],0.316032895,16,1560988718,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 56",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:13.3,10982,0,10,8,0.002825631,1331,6.401900122,0.886235401,1330.997174,[[1;0;0][6.12303176911167E-17;4.22407930327723E-23;2.59428158592642][6.12303176911189E-17;4.38852598117339;0][...]],1.661485169,5,998124027,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 55",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:11.7,10982,1,10,8,1.200782959,1331,0.893307655,0.371348862,1329.799217,[[1;0;0][6.12296212912937E-17;7.15376877371062E-19;2.44967546560366][6.12303176911189E-17;0;1.01320232334334][...]],0.685702062,5,641208926,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 64",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:04.6,5864,1,3,3,1.14E-10,1331,0.639308798,0.962644593,1331,[[6.12303176911189E-17;4.93270397742925;0][1;0;0][6.12303176911189E-17;0;5.54575572869549][3.74915180455534E-33;6.47099087741069E-17;1.05682791163262][...]],0.287763943,16,1640153715,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 63",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:04.9,5864,0,3,3,9.09E-13,1331,0.623009145,0.805870364,1331,[[3.74915180455534E-33;6.51434259239255E-17;1.06390801779842][6.12302780146569E-17;5.55235479869054;0.00632085214891618][...]],0.28110011,16,1038890635,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 65",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:07.0,5864,1,3,3,1.61E-07,1331,0.944102053,1.251082049,1331,[[6.12303174248204E-17;9.53543609219757;0.000889317113341352][1;0;0][3.74915180455534E-33;6.47240042381309E-17;1.05705811563213][...]],0.381089326,16,1303299023,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 64",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:06.8,5864,0,3,3,4.77E-05,1331,0.668317384,0.846621474,1330.999952,[[1;0;0][0.153537076332771;5.91872351499481;0][3.74915180455534E-33;6.54000079598489E-17;1.06809845883479][...]],0.415304041,16,1695380079,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 66",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:03.3,5864,1,3,3,1.02E-09,1331,0.750268295,0.798466898,1331,[[6.12303176902395E-17;4.2940896846151;2.3014198802687E-05][6.12303176911189E-17;4.33618373727061E-171;6.77306344825326][...]],0.555897219,16,788630282,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 65",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:02.6,5864,0,3,3,3.26E-10,1331,0.657527384,0.714463465,1331,[[6.08632283743104E-17;5.2187951123806;0.574047048852499][3.74915180455534E-33;6.41013771973964E-17;1.04688950857255][...]],0.401918188,16,1478871341,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 57",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",15:59.6,10982,0,10,8,2.389730904,1331,2.235194198,1.213805123,1328.610269,[[1;0;0][6.12303176911189E-17;3.73100932657816E-24;3.70628178236599][3.74915180455534E-33;6.19273131088762E-17;1.01138317493751][...]],0.945295369,5,1967961710,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 56",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",15:59.0,10982,1,10,8,1.354923646,1331,∞,0.234398306,1329.645076,[[1;0;0][6.12303176911189E-17;1.33655479861484;0][3.74915180455534E-33;6.20718322667723E-17;1.01374342984628][...]],0.708356476,5,1606451419,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 67",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:03.0,5864,1,3,3,2.27E-13,1331,0.808096328,0.805536742,1331,[[6.12297857281532E-17;4.52645692070274;0.0188683386334345][3.74915180455534E-33;6.46563949578979E-17;1.05595393582738][...]],0.384737709,16,45843024,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 66",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:02.6,5864,0,3,3,3.60E-07,1331,0.724534843,0.816440569,1331,[[6.12303176911188E-17;1.13356415975099E-23;4.46686398233259][6.12287858224546E-17;4.90049630570366;0.0346649615497765][...]],0.380916965,16,306100757,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 68",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1}",06:04.5,5864,1,3,3,2.27E-13,1331,0.66599721,0.722248318,1331,[[1;0;0][6.11956742146308E-17;9.05565567930442E-18;4.39716084218713][3.74915180455534E-33;6.71847520669579E-17;1.09724650467888][...]],0.287774918,16,63987984,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 67",5,[5;10;20],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0}",06:04.5,5864,0,3,3,2.36E-10,1331,0.419123234,0.34393501,1331,[[1;0;0][3.74915180455534E-33;6.52201465992838E-17;1.06516100289226][6.1230317632214E-17;3.89530867455199;0.000170863507554601][...]],0.280294757,16,56412672,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 44",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:04.2,1939,3,10,10,9.85E-10,1331,0.526003923,1.195885872,1331,[[6.12303176910904E-17;2.6775847573485E-22;4.53673445922004][6.12303176911184E-17;9.99360533992355;1.23834334001886E-06][...]],0.464805887,16,1543814117,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 58",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:06.2,10982,0,10,8,1.059652648,1331,1.514792748,0.204152222,1329.940347,[[1;0;0][6.1084811169419E-17;5.83557352720322E-18;1.38325493180922][6.12303176911189E-17;0;1.01674068834901][...]],0.472454153,5,1031559348,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 57",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:07.5,10982,1,10,8,0.005366124,1331,2.090310623,0.457999286,1330.994634,[[1;0;0][6.12303176911188E-17;7.90661339910647E-24;3.18422438151469][6.12303176911189E-17;1.07151666298857;0][...]],0.688901358,5,1447096303,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 45",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:03.1,1939,3,10,10,1.37E-07,1331,0.386292796,0.888379088,1331,[[3.74915180455534E-33;6.33235082971902E-17;1.03418552581469][6.12303162752348E-17;5.53284827015995E-20;4.20181246901767][...]],0.146637921,16,780290822,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 46",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:02.9,1939,3,10,10,8.75E-09,1331,0.393681212,0.850408835,1331,[[1;0;0][3.74915180455534E-33;6.41532727427055E-17;1.04773705513552][6.12110005331385E-17;8.31341765417699E-18;5.40560098764931][...]],0.25800651,16,1543952510,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 44",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",16:12.4,10982,3,10,8,2.735959814,1331,2.444989208,1.050697298,1328.26404,[[1;0;0][6.12142113115378E-17;3.20466189723994;0.0735188348866819][6.12303176911189E-17;0;1.00997073564353][...]],0.534664897,5,797462764,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 47",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:03.6,1939,3,10,10,9.66E-08,1331,0.359380746,0.92317222,1331,[[3.74915180455534E-33;6.36129092704194E-17;1.03891195847325][6.12139786042404E-17;4.56019231852845;0.105369694795517][...]],0.174040838,16,508449624,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 59",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:14.2,10982,0,10,8,1.050295652,1331,1.331464019,0.534338095,1329.949704,[[1;0;0][6.1230317691117E-17;5.99389993925774E-23;3.93253693836313][3.74915180455534E-33;6.18156118694343E-17;1.00955889501126][...]],1.031733613,5,127775742,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 58",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:14.2,10982,1,10,8,2.281324275,1331,1.379336365,1.004839574,1328.718676,[[1;0;0][6.12303176911189E-17;3.41816082084473;0][6.12303176911189E-17;0;1.00892941799157][6.12201354653633E-17;2.0572383488995E-18;1.84239629736831][...]],0.401946105,5,1371112427,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 48",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:04.9,1939,3,10,10,3.65E-07,1331,0.812181428,1.54806515,1331,[[6.12303142170369E-17;6.88112049557232;0.00231798677080346][6.12303176791288E-17;1.21729271271958E-20;10.0458220813227][...]],0.606925522,16,3674927,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 49",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:05.0,1939,3,10,10,4.67E-06,1331,0.22777834,0.467135273,1330.999995,[[1;0;0][6.12303149622547E-17;3.32372468224803;0.000992310887453009][3.74915180455534E-33;6.29878627625325E-17;1.02870383721149][...]],0.159128564,16,874114478,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 45",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",16:16.0,10982,3,10,8,3.453061447,1331,2.377916939,1.317972721,1327.546939,[[1;0;0][6.12303176911189E-17;3.97836471761498;0][6.12303176911189E-17;0;1.01305297530108][5.98968846026719E-17;2.14542486814597E-17;1.68813375279875][...]],0.465421536,5,615696576,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 50",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:02.8,1939,3,10,10,1.83E-05,1331,0.346698804,0.805858391,1330.999982,[[1;0;0][3.74915180455534E-33;6.35230573400963E-17;1.03744451662889][6.12299993185967E-17;7.80265162822136E-19;3.95163422685852][...]],0.197731041,16,427797871,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 60",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:16.7,10982,0,10,8,1.174571112,1331,2.46576757,1.234628042,1329.825429,[[1;0;0][6.12302602178248E-17;3.3741865575619E-19;4.02196135997191][3.74915180455534E-33;6.17924020339455E-17;1.00917983711373][...]],0.859828732,5,915281670,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 59",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:15.7,10982,1,10,8,2.264207349,1331,3.325062995,1.70565822,1328.735793,[[1;0;0][6.12303047598507E-17;1.57024622084318E-19;3.94592627328641][6.12303176908471E-17;4.83638013414685;1.44089312137653E-05][...]],0.693787944,5,678553047,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 51",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:02.9,1939,3,10,10,1.08E-07,1331,0.362131003,0.743245951,1331,[[6.12303173944483E-17;3.15923856733807E-20;5.24139550497041][3.74915180455534E-33;6.35360543051722E-17;1.03765678018665][...]],0.231591073,16,155515528,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 52",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:04.8,1939,3,10,10,3.48E-11,1331,0.450927312,1.383491437,1331,[[6.12303176911189E-17;5.91316078907828;1.00399234750632E-07][3.74915180455534E-33;6.42141122025445E-17;1.04873067173157][...]],0.272641041,16,792336716,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 46",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",16:15.7,10982,3,10,8,3.233257442,1331,3.353009598,1.431578354,1327.766743,[[1;0;0][6.12303170097655E-17;3.35169670170663E-20;3.66927488114198][3.74915180455534E-33;6.19215925993091E-17;1.01128974884105][...]],0.588991922,5,833596107,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3} Run 53",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=3}",05:05.7,1939,3,10,10,2.91E-05,1331,0.605637346,1.844374981,1330.999971,[[6.12303176578875E-17;7.43204077129004;0.000244857709906434][3.74915180455534E-33;6.41339657353846E-17;1.04742173736405][...]],0.309747793,16,116616564,32,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 61",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",16:16.9,10982,0,10,8,3.269635219,1331,4.270696029,0.844430682,1327.730365,[[1;0;0][6.12303176911189E-17;3.26219024256602;0][6.12302230375088E-17;1.25274216235266E-19;1.16357670156148][...]],0.517514543,5,573375541,10,DTLZ4
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 60",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",16:17.4,10982,1,10,8,1.999139826,1331,∞,0.573866655,1329.00086,[[1;0;0][6.04919844121267E-17;2.41940918472665E-17;2.55210197928955][6.12303176911189E-17;1.97499062571304;0][...]],0.887378281,5,1486231121,10,DTLZ4
