,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 40",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:56.6,10982,3,10,8,1.014506076,1330.98802,1.428922369,0.483709595,1329.973513,[[1;0;0][5.97494512885625E-17;2.36729673083511;0.530314000175096][5.69719086965491E-17;4.92716756220966E-17;2.19614402606239][...]],0.687703216,5,254224879,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 41",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:50.4,10982,3,10,8,1.553749185,1330.994646,1.211133622,0.730638853,1329.440897,[[1;0;0][6.12245539238716E-17;3.13852609551363;0.0430666772289157][3.74915180455534E-33;6.19907139891469E-17;1.01241862408528][...]],0.417079938,5,88902596,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 42",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:47.9,10982,3,10,8,3.251161944,1330.991708,4.073440254,1.959338858,1327.740546,[[1;0;0][6.11254891808799E-17;1.09815475181489E-17;3.06627813063713][3.74915180455534E-33;6.19525227279257E-17;1.01179489285765][...]],1.195291529,5,274102802,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 43",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:53.6,10982,3,10,8,1.036944526,1330.991117,0.855769542,0.210581204,1329.954173,[[1;0;0][5.88489947806236E-17;2.52532719348554E-17;1.49339404048136][3.74915180455534E-33;6.18135191601927E-17;1.00952471734698][...]],0.639058875,5,2070167941,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 48",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:50.8,6955,0,5,5,0.004357375,1330.999972,43.54064045,37.59168988,1330.995615,[[1;0;0][3.74915180455534E-33;2.06070468745486E-16;3.36549729800561][6.12303176911189E-17;0;3.36482241598814][...]],41.74204305,10,1911910083,20,DTLZ3
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 49",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:51.6,6955,1,5,5,92.96174128,1330.972245,248.1140408,195.0950942,1238.010503,[[1;0;0][6.12303176911189E-17;0;8.4562250201307][3.74915180455534E-33;5.18319937906667E-16;8.46508653640134][...]],182.7786156,10,1560157081,20,DTLZ3
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 51",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:04.1,5983,0,10,10,120.956705,1330.956705,∞,341.7944377,1210,[[1;0;0][6.12303176911189E-17;0;25.8671463097409][3.74915180455534E-33;1.58385358630809E-15;25.8671463097409][...]],638.7288658,5,941742316,10,DTLZ3
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 50",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",16:16.0,5983,1,10,10,120.956705,1330.956705,253.5911878,352.0146132,1210,[[1;0;0][3.74915180455534E-33;1.5450011206137E-15;25.2326164369681][6.12303176911189E-17;0;25.2326164369681][...]],332.3719143,5,1404289018,10,DTLZ3
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 49",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",09:02.0,6955,0,5,5,0.645431916,1330.999782,21.93993386,18.76311389,1330.35435,[[1;0;0][3.74915180455534E-33;6.13716682894977E-17;1.00230850669585][6.12303176911189E-17;0;1.00230850669585][...]],11.95425196,10,1234201582,20,DTLZ3
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 50",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",09:02.1,6955,1,5,5,78.91036163,1330.987479,130.5583506,122.3217483,1252.077118,[[1;0;0][6.12296786338364E-17;369.68594092804;1.68903235861351][6.12303176911189E-17;0;8.30341707522051][...]],63.53064224,10,1186319124,20,DTLZ3
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 50",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:52.6,6955,0,5,5,24.0592668,1330.998235,208.9109824,131.7222282,1306.938968,[[1;0;0][3.74915180455534E-33;1.69080388900557E-16;2.76138349883299][6.12303176911189E-17;0;2.76138349883299][...]],279.0045703,10,2066773267,20,DTLZ3
