,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 15",5985,83.23245042,119.6477242,117.3838982,118.3985753,3.678444503,13.53095396,117.4758121,118.996332,119.4299273,113.420015,113.4208489,119.4286932,0.001369471,113.2864409,0.413806102
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 15",10984,86.68220752,120.5514291,118.3382431,120.1380548,4.843132677,23.45593412,119.2999397,120.4238291,120.4736706,112.7661904,112.766595,120.4714059,0.000935115,113.20306,0.37484912
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 16",9028,80.83884973,120.531968,117.9648372,120.0641278,5.334285855,28.45460559,118.6211338,120.3975369,120.432836,111.5959531,111.5960219,120.4295682,0.00130599,112.0702523,0.407171099
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 17",7017,80.37884935,120.4139904,118.4305284,119.8092024,3.804403236,14.47348398,118.5110024,120.2742372,120.328377,114.0459556,114.0462856,120.3269725,0.001206532,114.1980125,0.412751377
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 16",5985,84.57099729,119.7249953,117.4182641,118.1317134,3.068965964,9.418552088,117.380105,119.0876082,119.3374403,113.8322609,113.8344907,119.3317767,0.001247759,113.6849683,0.493511293
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 16",10984,83.91774351,120.5581715,118.6154316,120.0997748,4.404320763,19.39804139,119.3874414,120.4136436,120.4746831,113.9451258,113.9461613,120.4734918,0.000808834,114.1737183,0.339109942
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 17",9028,82.00520095,120.5157355,118.784722,120.0639514,3.484124118,12.13912087,119.200895,120.3695883,120.4179895,114.7966824,114.7972615,120.413064,0.000837641,115.0040289,0.392625673
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 18",7017,82.21869473,120.426748,118.2654883,120.1317828,4.461716547,19.90691454,118.0346354,120.3138951,120.3550823,112.9402556,112.9404275,120.3473633,0.001391793,113.383079,0.39932715
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 17",5985,87.66217849,119.6970667,117.5430271,118.7883898,3.719118276,13.83184075,117.6776816,119.4375444,119.5904423,113.0342786,113.0360377,119.5878893,0.001460375,113.1735839,0.460329346
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 17",10984,87.33349073,120.5439601,118.203885,120.2621104,5.494744266,30.19221455,119.4072013,120.4149873,120.4582135,112.0303465,112.0338308,120.4555654,0.001028124,112.5579425,0.352026452
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 18",9028,85.81666966,120.4933267,118.4171744,120.1305109,4.227034395,17.86781977,118.8427315,120.3816255,120.4189862,113.381796,113.3818755,120.4130135,0.001036869,113.7372649,0.408720482
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 19",7017,85.31953392,120.3560159,117.8568976,119.6264382,4.696630391,22.05833703,117.8648511,120.1479308,120.2491077,112.2679033,112.2680183,120.2455569,0.001532498,112.4808962,0.43692853
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 18",5985,86.58779385,119.6068346,116.9271063,118.3423299,4.043108921,16.34672974,116.4204577,118.983408,119.1994778,112.2683052,112.2701599,119.19765,0.0015658,112.2422322,0.447776612
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 18",10984,85.59958074,120.5112244,117.7750539,119.8950997,5.603423191,31.39835145,117.8044108,120.3737901,120.4113636,111.1993625,111.1998926,120.4034659,0.001132103,111.5581088,0.410435189
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 19",9028,84.35410053,120.4963957,117.8106729,119.9265604,4.949644741,24.49898306,117.1061853,120.3156831,120.3892498,111.6507152,111.6511519,120.3863447,0.001298146,111.9514895,0.467249872
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 19",5985,87.8625461,119.8537527,117.6232663,119.0702482,3.642517165,13.2679313,117.7740654,119.4897259,119.6929595,112.9507328,112.9509349,119.6909884,0.001475395,113.2088852,0.489815888
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 20",7017,82.34081553,120.388475,117.8747889,119.5961571,4.676381417,21.86854316,117.9350705,120.1925699,120.2982367,112.2834431,112.2841914,120.2972736,0.001532856,112.4975291,0.440926919
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 19",10984,85.99850811,120.5473785,118.1138308,119.8982541,4.891349731,23.92530219,118.2653003,120.4437325,120.479846,112.4793761,112.4807975,120.476614,0.000994214,112.6541062,0.415414267
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 20",5985,82.97445638,119.7378559,117.6974444,118.9977122,3.749995138,14.06246354,118.5195843,119.4344227,119.517224,113.2818328,113.2820138,119.5142857,0.001367063,113.6071916,0.396766806
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 20",9028,82.19902415,120.4946123,118.1696706,120.0331297,4.479489945,20.06583017,118.182028,120.2652417,120.3695103,112.8453469,112.8460103,120.3686924,0.001117672,113.1250559,0.422884647
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 20",10984,83.8826352,120.4743303,118.1803202,119.8809496,4.870016668,23.71706235,118.9289866,120.3325823,120.3806613,112.6938583,112.6966704,120.3780513,0.000940685,113.0145486,0.375151666
