,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 12",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:43.1,6135,5,5,92.29371136,118.8440549,522.5367295,1238.662994,[[1;0;0][3.74915180455534E-33;5.82581585655807E-16;9.51459354816164][6.12303176911189E-17;0;9.51459354816164][...]],84.32099204,10,2059516077,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 12",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:53.8,6471,5,5,34.32014934,125.7148379,376.5013974,1296.676801,[[1;0;0][6.12303176911189E-17;0;3.51725830102743][3.74915180455534E-33;2.09867443006963E-16;3.42750864148142][...]],70.22597385,10,413827142,20,DTLZ3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 13",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:23.2,5784,5,5,120.956705,164.4319252,644.5068255,1210,[[6.12262420810285E-17;1405.26265045155;16.2146373886253][6.12266000141358E-17;8.63146071603411E-16;1279.25407788217][...]],98.13771045,10,477758328,20,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 7",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,13:53.2,10982,10,8,33.97210602,227.1812516,468.7201032,1296.992409,[[1;0;0][6.12301347966648E-17;1.65337836035279E-16;1104.77554211242][6.12303176911189E-17;0;3.09159920384874][...]],103.8247464,5,1235269440,10,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 12",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,08:09.8,6955,5,5,7.421334849,111.2893053,407.8039506,1323.571798,[[1;0;0][3.74915180455534E-33;1.40171124212833E-16;2.28924378475279][6.12303176911189E-17;0;2.32118077810262][...]],47.04273207,10,425371951,20,DTLZ3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 13",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:44.0,6135,5,5,76.71225278,139.8560673,486.238024,1254.272857,[[1;0;0][6.12303176911189E-17;911.119195832496;0][3.74915180455534E-33;5.00324892420644E-16;8.17119543531641][...]],64.53043146,10,768959827,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 13",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:55.5,6471,5,5,26.8022152,153.922397,586.2377692,1304.181915,[[1;0;0][6.12301695883026E-17;2.08645121488502E-16;1549.27525537476][3.74915180455534E-33;3.17546394713957E-16;5.18609745446439][...]],55.2601451,10,1322242330,20,DTLZ3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 14",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:22.4,5784,5,5,120.956705,165.7475606,895.0732209,1210,[[1;0;0][6.12303176911189E-17;0;22.6524423147833][3.74915180455534E-33;1.29489843206457E-15;21.1479946682097][...]],97.6557715,10,1128325293,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 8",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,12:54.7,9026,10,9,61.16726474,130.2575058,439.1883637,1269.813261,[[1;0;0][6.12303170565094E-17;1.18049352439661E-17;1339.09710622382][6.12303176911189E-17;0;5.58326344940794][...]],78.82320511,5,1391061198,10,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 13",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,08:10.3,6955,5,5,13.02229049,83.65299582,314.8969158,1317.976224,[[1;0;0][3.74915180455534E-33;2.55014662939209E-16;4.16484304761655][6.12303176911189E-17;0;4.1641984495506][...]],73.97158455,10,723953547,20,DTLZ3
