,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Crowding,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,ReferencePoint,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 20",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],1.639086622,40,300033,02:03.2,6543,1,3,3,0.05653956,1324.708289,0.313587043,0.001748088,1324.651749,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.226339486773084;0.226339486773083;0.947386338013481][...]],0.060812686,16,40,[11;11;11],116697136,32,1.433966953,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 21",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.730811081,40,300033,02:24.4,6543,1,3,3,0.042707141,1324.708279,0.326672153,0.00107026,1324.665572,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.421132159598263;0.421132159598263;0.803302812334307][...]],0.0293956,16,40,[11;11;11],210157416,32,1.980294536,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 22",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.348728119,40,300033,01:59.5,6543,1,3,3,0.0481529,1324.710748,0.312082904,0.001018269,1324.662595,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.678955002833086;0.678955002833086;0.279356775926143][...]],0.066523208,16,40,[11;11;11],134127144,32,1.837697777,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 23",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.384092471,40,300033,01:59.2,6543,1,3,3,0.016626863,1324.709723,0.325290574,0.001767125,1324.693096,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.146204141133271;0.146204141133271;0.978390871907013][...]],0.02857322,16,40,[11;11;11],271980055,32,1.426808206,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 24",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.412757453,40,300033,01:59.9,6543,1,3,3,0.052147195,1324.709872,0.314808478,0.001528761,1324.657725,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.315700027738987;0.315700027738987;0.894799969250785][...]],0.055846864,16,40,[11;11;11],626677640,32,1.488751742,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 25",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],3.029817647,40,300033,02:09.9,6543,1,3,3,0.03612663,1324.707878,0.317954008,0.001431342,1324.671751,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.536342414808214;0.536342414808214;0.651669876667157][...]],0.051667701,16,40,[11;11;11],1660065839,32,2.451567001,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 26",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.521245449,40,300033,02:44.0,6543,1,3,3,0.020659688,1324.708428,0.311682853,0.001210925,1324.687769,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.654942336673522;0.654942336673522;0.376962957417906][...]],0.049329167,16,40,[11;11;11],2134537683,32,1.615933054,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 27",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.418427267,40,300033,02:20.2,6543,1,3,3,0.03726441,1324.708745,0.323096439,0.001759752,1324.671481,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.2759138564206;0.2759138564206;0.920729649609605][...]],0.040171241,16,40,[11;11;11],1164308438,32,1.643118001,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 28",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.037896143,40,300033,03:01.1,6543,1,3,3,0.027539861,1324.710836,0.326080177,0.001260725,1324.683296,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.0533660982064789;0.0533660982064789;0.99714799258908][...]],0.032615479,16,40,[11;11;11],1171153706,32,1.431474808,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 29",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.211284228,40,300033,04:09.7,6543,1,3,3,0.032441638,1324.712352,0.323730343,0.001399224,1324.67991,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.504453793666614;0.504453793666614;0.700751553769752][...]],0.030058457,16,40,[11;11;11],1005937169,32,1.484774504,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 30",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.082735975,40,300033,02:02.4,6543,1,3,3,0.033203004,1324.709938,0.328358078,0.000971721,1324.676735,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.375199648653495;0.375199648653495;0.847614562935647][...]],0.025412671,16,40,[11;11;11],2027063901,32,1.077049115,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 31",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],1.839602032,40,300033,02:11.3,6543,1,3,3,0.05340024,1324.708365,0.324534625,0.001439515,1324.654965,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.399059313028827;0.399059313028827;0.82553214920433][...]],0.032443693,16,40,[11;11;11],158857435,32,1.532134659,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 32",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.321405732,40,300033,02:01.5,6543,1,3,3,0.105557721,1324.709642,0.324368152,0.002154644,1324.604084,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.534909105151369;0.534909105151369;0.654021787444672][...]],0.049580014,16,40,[11;11;11],1166166521,32,1.902505235,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 33",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.182284548,40,300033,02:04.7,6543,1,3,3,0.062552354,1324.712133,0.317175884,0.00141407,1324.64958,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.685803842240622;0.685803842240622;0.243610713918744][...]],0.069424571,16,40,[11;11;11],330218828,32,1.765235577,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 34",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.69450135,40,300033,02:05.9,6543,1,3,3,0.026096953,1324.710941,0.319148091,0.001575057,1324.684844,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.694308898995133;0.694308898995133;0.189394576354054][...]],0.040891252,16,40,[11;11;11],211276545,32,1.620908779,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 35",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.586028673,40,300033,02:02.5,6543,1,3,3,0.025134324,1324.709442,0.31886169,0.001241556,1324.684308,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.364139142699804;0.364139142699804;0.857207891650388][...]],0.043769777,16,40,[11;11;11],2014856446,32,1.894514444,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 36",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.263080699,40,300033,02:10.4,6543,1,3,3,0.067383229,1324.710016,0.314098905,0.001523397,1324.642633,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.690893107732567;0.690893107732567;0.212916479811383][...]],0.052648069,16,40,[11;11;11],1903005096,32,1.562449609,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 37",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.721612361,40,300033,02:11.8,6543,1,3,3,0.021541325,1324.711153,0.321276648,0.001291361,1324.689612,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.261014097179866;0.261014097179866;0.929377900612425][...]],0.037743849,16,40,[11;11;11],1687212296,32,1.725832521,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 38",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],1.935288274,40,300033,02:57.9,6543,1,3,3,0.024409169,1324.710193,0.322512274,0.001863522,1324.685784,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.221239146212319;0.221239146212319;0.949792861821191][...]],0.034819852,16,40,[11;11;11],1737631228,32,1.513499194,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 39",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],1.623849233,40,300033,02:12.1,6543,1,3,3,0.030394414,1324.707517,0.320904901,0.001472338,1324.677123,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.269674548430558;0.269674548430558;0.924419426373953][...]],0.035737119,16,40,[11;11;11],369053182,32,0.815873532,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 40",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.359366823,40,300033,02:57.6,6543,1,3,3,0.008201487,1324.709817,0.317334205,0.001458274,1324.701616,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.386827042526366;0.386827042526366;0.837095979168823][...]],0.029477872,16,40,[11;11;11],268204536,32,1.781544041,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 41",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.135395077,40,300033,02:10.5,6543,1,3,3,0.021653559,1324.711446,0.31875672,0.001597705,1324.689793,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.430583466158852;0.430583466158852;0.793218606275255][...]],0.031940972,16,40,[11;11;11],790702937,32,1.652289551,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 42",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],1.766708673,40,300033,02:45.7,6543,1,3,3,0.041428598,1324.712389,0.32535146,0.001488961,1324.670961,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.616671584307694;0.616671584307694;0.489318213655366][...]],0.030069686,16,40,[11;11;11],16189889,32,1.523836471,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 43",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.247791342,40,300033,02:23.8,6543,1,3,3,0.027046275,1324.708211,0.309879824,0.001835931,1324.681164,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.678051479295239;0.678051479295239;0.283711795403498][...]],0.063732048,16,40,[11;11;11],888514767,32,2.326197418,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 44",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.40347013,40,300033,02:41.8,6543,1,3,3,0.03660839,1324.711021,0.321876858,0.001182663,1324.674413,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.275041491131545;0.275041491131545;0.921251516314775][...]],0.044872104,16,40,[11;11;11],871565541,32,2.026462962,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 45",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],1.874837306,40,300033,02:09.3,6543,1,3,3,0.037556916,1324.713524,0.32761221,0.001978706,1324.675967,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.259753393750193;0.259753393750193;0.930084054734041][...]],0.027154675,16,40,[11;11;11],1901590072,32,1.545760505,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 46",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.636481398,40,300033,02:35.5,6543,1,3,3,0.037896097,1324.710935,0.32196448,0.001180985,1324.673039,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.694771254002122;0.694771254002122;0.185972603424908][...]],0.044146473,16,40,[11;11;11],1318061664,32,2.007433561,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 47",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.533632936,40,300033,02:53.0,6543,1,3,3,0.050291066,1324.710336,0.333460577,0.001416348,1324.660045,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.381040681485672;0.381040681485672;0.842387083297144][...]],0.037714086,16,40,[11;11;11],22539641,32,1.150010882,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 48",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.208263997,40,300033,02:25.8,6543,1,3,3,0.041669285,1324.710292,0.315141156,0.001687625,1324.668623,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.616216219209926;0.616216219209925;0.490464211095213][...]],0.052775487,16,40,[11;11;11],859409871,32,1.477876413,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 49",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.402163024,40,300033,04:05.4,6543,1,3,3,0.07652534,1324.709183,0.313135241,0.001259826,1324.632658,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.371880060462149;0.371880060462149;0.850535385073035][...]],0.064569558,16,40,[11;11;11],830539607,32,1.876316675,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 50",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],1.909658443,40,300033,02:04.5,6543,1,3,3,0.044761861,1324.711679,0.32260727,0.001152809,1324.666917,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.518870423373549;0.518870423373549;0.679372480673385][...]],0.031478735,16,40,[11;11;11],224254145,32,1.306986532,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],3.157558936,40,300033,02:00.3,6386,3,3,3,0.048328605,1324.714121,0.312372886,0.001076081,1324.665792,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.326191303395609;0.326191303395609;0.887242056700508][...]],0.051842993,16,40,[11;11;11],1961237496,32,2.439299065,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],3.523085555,40,300033,02:07.5,6386,3,3,3,0.016341778,1324.710533,0.321487495,0.001467664,1324.694192,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.274729941965584;0.274729941965584;0.921437419456782][...]],0.03512366,16,40,[11;11;11],909757085,32,3.211520945,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 3",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],3.119670938,40,300033,02:10.4,6386,3,3,3,0.047020961,1324.712515,0.328977508,0.001916482,1324.665494,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.567524742584744;0.567524742584744;0.596515995685146][...]],0.039305199,16,40,[11;11;11],359593405,32,2.61411319,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 4",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.804328054,40,300033,03:22.1,6386,3,3,3,0.021673079,1324.706145,0.327103292,0.002068108,1324.684472,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.636630066348979;0.636630066348979;0.435206062964418][...]],0.027121597,16,40,[11;11;11],1218411422,32,1.583111362,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 5",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.784818284,40,300033,02:11.7,6386,3,3,3,0.032806209,1324.712049,0.319491841,0.001448804,1324.679243,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.602265633456081;0.60226563345608;0.523977302481217][...]],0.037634928,16,40,[11;11;11],1239311103,32,1.500995286,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 6",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],3.350293862,40,300033,03:12.3,6386,3,3,3,0.021064037,1324.708512,0.314945686,0.001164793,1324.687448,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.657026777182931;0.657026777182931;0.36963715739793][...]],0.05152795,16,40,[11;11;11],1048299392,32,1.852808463,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 7",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],2.790991558,40,300033,02:04.9,6386,3,3,3,0.054432392,1324.709679,0.317850893,0.001471236,1324.655247,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.524714037667612;0.524714037667612;0.670336003321546][...]],0.045578924,16,40,[11;11;11],1817048327,32,1.693510951,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 8",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],3.157890709,40,300033,02:15.8,6386,3,3,3,0.034137868,1324.706758,0.332289977,0.001132151,1324.67262,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.294577139897548;0.294577139897548;0.909092194059305][...]],0.020064668,16,40,[11;11;11],1590229032,32,2.329715721,DTLZ6
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3} Run 9",150,[150;300;600],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=150, NonDominatedElites=3}",[[0.707106781186548;0.707106781186547;0][0.707092823504067;0.707092823504067;0.00628314396555895][0.707075376530114;0.707075376530114;0.00942463843314401][...]],3.148152538,40,300033,02:04.7,6386,3,3,3,0.027765094,1324.709528,0.315181069,0.001684661,1324.681762,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.655872941570982;0.655872941570982;0.373712950043284][...]],0.051951375,16,40,[11;11;11],2125119645,32,1.967448821,DTLZ6
