, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 46, 6309, 0, 1330.6340283251595, 923.70510939562223, 1244.1769430171039, 520.873457583967, 271309.15881547675, 638.16643226740086, 1287.194469754834, 1311.7667693096757, 63.579793584857327, 72.823262426680273, 1303.224382020941, 0.24359443924618296, 155.40824801316114, 0.72556934522265393
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 47, 6309, 0, 1330.6948860993375, 1016.119097576946, 1282.6742284833417, 490.62764012060092, 240715.48125030991, 831.2961484768814, 1304.1840260927095, 1319.2895709941201, 210.85930692591032, 224.84488296667607, 1315.8022138930285, 0.20953880489577978, 355.23370693565664, 0.60510890415665375
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 48, 6309, 0, 1330.8293381394737, 1052.210769747682, 1323.4824450219887, 514.66136628474783, 264876.32194608334, 1202.2714572913096, 1325.4491281510491, 1326.7940748736489, 246.0967188311204, 248.363507995708, 1324.7791736855897, 0.20482234008762704, 406.20110911130632, 0.52543639406194886
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 49, 6309, 0, 1330.6529167310646, 933.981119043815, 1256.7394924294329, 519.32504537397233, 269698.50275267847, 391.33538489251032, 1282.8233798470176, 1296.7401813485719, 63.043111017766911, 69.522003140816878, 1288.421446550409, 0.23564099468970484, 190.769421792486, 0.6830174506835972
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 50, 6309, 0, 1330.9926013771162, 1055.7296474710065, 1307.5567263690448, 478.08623511716968, 228566.44820850965, 1138.598099409136, 1324.066619707615, 1326.8710578263106, 344.55774174691595, 355.86900312900252, 1326.0561212029588, 0.19502773813205121, 440.612161402517, 0.55206336583251425
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1, 6545, 0, 1330.9822790160115, 984.83627862599974, 1324.776037453126, 544.815248121505, 296823.654585697, 912.67524765565349, 1328.7216091165153, 1329.4014423672229, 56.463110835088642, 58.542105704915329, 1328.6856729444316, 0.22901567328190356, 235.49699564761124, 0.630864818465346
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2, 6545, 0, 1330.8364687105436, 788.55867467428311, 897.3793798774484, 465.06266869177045, 216283.28581071144, 493.65522913510586, 1166.3051204430135, 1311.5694860196884, 102.90214634186657, 113.95386842911063, 1299.9787091119156, 0.2325988424764118, 27.4952620914637, 0.89309271180223082
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3, 6545, 0, 1330.9446121991846, 914.26515074914892, 1231.1358297673753, 553.19997669741792, 306030.21421802376, 3.813194144649672, 1326.9656569974841, 1328.7279294327229, 0.14422115726352072, 0.26241150389790652, 1328.6001122467899, 0.250790040170741, 93.680139310484265, 0.73377121274225776
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4, 6545, 0, 1330.766500516248, 980.966430243751, 1274.80288311029, 496.76596906373095, 246776.42801982767, 711.64784839285039, 1316.5466973591647, 1321.0912389707482, 168.68752372890074, 179.70601552940366, 1317.6305611538053, 0.21821758407887498, 266.95849513767212, 0.688938124988258
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5, 6545, 0, 1330.00505707695, 715.6814518104901, 912.09432483112823, 535.25992072559222, 286503.18273516727, 0, 1227.2616148066936, 1257.0942583537753, 0, 0, 1228.8981831925657, 0.2616541581954302, -140.45095380495752, 0.8531595112738154
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6, 6545, 0, 1330.0418269953545, 984.9800006972755, 1222.852147792787, 473.58788318870359, 224285.48310315714, 1012.1952654344809, 1259.8551283867603, 1280.6143772829739, 246.98289496504373, 257.44979198836165, 1261.2055002847094, 0.18914781883704948, 366.08833746244954, 0.56951598236976353
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 7, 6545, 0, 1330.9686622872778, 947.90756860235274, 1289.186901235372, 547.13307824158028, 299354.60530610726, 277.01211648577475, 1326.8613697550497, 1328.2038193639287, 74.595213218899048, 91.003148773543629, 1327.1763221727338, 0.24029943706722645, 161.64781051838781, 0.68869030436062
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8, 6545, 0, 1330.9987816156872, 977.04619479190455, 1321.5960736349839, 562.22259433757949, 316094.24558367854, 524.900119457762, 1329.5669025123489, 1330.0895872712008, 15.453034292243824, 15.681381093400372, 1329.940389297929, 0.23509091705816065, 207.82871417760293, 0.6242513875229434
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9, 6545, 0, 1330.9440111854094, 802.16041472533493, 1025.351065552713, 498.64023113580231, 248642.08010716637, 82.248258089971131, 1182.6307314894766, 1273.4369111620956, 7.4319506082536924, 8.8635265234788836, 1254.3116438485604, 0.23886472200855421, 20.595044313345511, 0.81928273375181948
