,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 1",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:01.4,9026,10,9,0.267528237,0.318590607,0.78098562,128.5105879,[[0.851914626557309;-0.767146240397674][0;1.01012407491529][0.423842889821831;0.115815768541178][0.208751563106574;0.56421136342522][...]],0.129567164,5,428164694,10,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 11",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:47.9,6135,5,5,0.306068767,0.231935783,1.00376508,128.4720474,[[0.851870044735955;-0.752302404754474][0;1.03880676029771][0.452501436715153;-0.0978408338403203][0.17291188262357;0.745017486538199][...]],0.05684306,10,2026112782,20,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 5",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.3,5784,5,5,1.559426787,0.312171259,1.472889552,127.2186893,[[0;1.23299719756069][0.849230262723152;-0.639263381319544][0.653922145673555;-0.313901873081158][0.257387483784978;0.419190134505395][...]],0.090616524,10,967091839,20,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 12",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:48.1,6135,5,5,0.69631979,0.230747606,1.002498047,128.0817963,[[0;1.10437099640073][0.851971961661877;-0.715963040295062][0.0844875652109987;0.759347901184268][0.447298793782172;-0.0441580022646494][...]],0.080734836,10,80936797,20,ZDT3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 2",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:05.5,10982,10,8,0.322129443,0.356451604,0.576870381,128.4559867,[[0.851904589076383;-0.764758634060716][0;1.01593112755334][0.638858325266211;-0.172866345051194][0.205478634003461;0.546794462195471][...]],0.134474448,5,2013582271,10,ZDT3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 2",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:02.4,9026,10,9,0.199527451,0.327323273,0.78234724,128.5785887,[[0;1.01149266670479][0.851367579285188;-0.767197129651062][0.425351749680915;0.072094499002389][0.086094236495781;0.879590334718166][...]],0.146380752,5,685093831,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 6",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.7,5784,5,5,1.017527132,0.26733577,1.865949367,127.760589,[[0.852091448987261;-0.687362500305362][0;1.15489751640861][0.654229263477024;-0.362799537258202][0.456367077966787;-0.0183571456718065][...]],0.088301765,10,637568034,20,ZDT3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 13",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:48.4,6135,5,5,0.262473682,0.246980673,1.095454096,128.5156424,[[0.851687714644948;-0.75676105631909][0;1.03062305901409][0.630299562389953;-0.288734626228646][0.204508677657975;0.54267406110455][...]],0.07510027,10,1056544887,20,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 7",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:46.4,5784,5,5,1.534797154,0.298520828,1.426019654,127.243319,[[0;1.23562193030531][0.852182608614947;-0.641137984210703][0.641320402376316;-0.273453705829595][0.45434404193868;0.0348647976663719][...]],0.098216628,10,1481887389,20,ZDT3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 3",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:05.8,10982,10,8,0.289271698,0.27848895,0.406202813,128.4888444,[[0;1.01839590779644][0.852206739387468;-0.763366556090469][0.637502279977122;-0.301098872729313][0.850003039969496;-0.713367615606798][...]],0.144144785,5,1148511908,10,ZDT3
