,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.023168968,[[0;1][-5;5]],30,180021,00:58.2,9236,8,8,8.483820718,120.6666667,0.31024702,0.59553886,112.1828459,[[0;1][1;0.789222493179464][0.416632134365133;0.871314679369946]],0.106837709,3,30,592117501,6,0.021620117,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.734074365,[[0;1]],30,180021,00:58.3,9236,8,8,0.146774477,117.5185752,0.902516657,3.23972049,117.3718007,[[0.280775318815369;0.921165220344128][1;0][0.682297278138366;0.534470424244977]],0.193002266,3,30,1324336660,6,0.209975033,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.737073061,[[0;1]],50,180021,00:58.5,9236,8,8,0.312486388,120.3333333,0.700880301,1.513599567,120.0208469,[[0;1.00410430913139][1;0.00819184176527204][0.624304582720188;0.754743500527362][0.5;0.898026491206923][...]],0.237252849,3,50,1264800615,6,0.222958269,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.508559214,[[0;1]],50,180021,00:58.9,9236,8,8,0.444862145,128.7781161,0.589591984,0.942580238,128.333254,[[0.852487872393746;-0.769038833430229][0;1.00546221526371][0.425957496547166;0.102513166785316][0.838836575496755;0.0268139160457318][...]],0.179403371,3,50,1893025227,6,0.190781453,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.455255203,[[0;1]],50,180021,00:57.0,9236,8,8,0.238195455,120.6666667,0.533315937,0.984293716,120.4284712,[[0;1.00068903543369][1;0.000330100036059141][0.33;0.513497522157498][0.6675;0.194571406848396]],0.160626198,3,50,1153444634,6,0.192604841,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.070436755,[[0;1][-5;5]],30,180021,01:01.1,9236,8,8,7.892188838,120.6666667,0.088638241,0.605816602,112.7744778,[[0;1][1;0.725928065033017][0.978133747017143;0.909691814935971][0.33289786409698;0.968087306524897][0.681507178136318;0.936985145351203][...]],0.081412007,3,30,1233340918,6,0.037311703,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.742205921,[[0;1]],30,180021,01:01.3,9236,8,8,0.506686949,117.5185752,0.742205921,3.565050327,117.0118882,[[0.280775318815369;0.939876990895683][1;0.0344357430010337][0.682297279403311;0.559782939834466]],0.216933942,3,30,1535440114,6,0.216933942,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.414880286,[[0;1]],50,180021,01:01.3,9236,8,8,0.287777277,120.3333333,0.4802279,0.899384655,120.0455561,[[0;1.00409915313791][1;0.00818157181647641][0.649985746095468;0.641088518956462][0.586325659899958;0.934793069982812][...]],0.216733782,3,50,1348202997,6,0.109290262,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.508849512,[[0;1]],50,180021,01:01.8,9236,8,8,0.415798104,128.7781161,0.550090099,0.980635809,128.362318,[[0;1.02141893298903][0.851526025137467;-0.761740529970603][0.465534492272725;0.109565021554022][0.26178568386184;0.293802745102232][...]],0.137038906,3,50,399887430,6,0.10405422,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.458764373,[[0;1]],50,180021,00:54.5,9236,8,8,0.329458659,120.6666667,0.503958085,1.020044666,120.337208,[[0;1.01401547897078][1;0.00703212311489363][0.341873560928208;0.494568397413034][0.683747121856415;0.242609079192299][...]],0.292938591,3,50,108970308,6,0.293561619,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.068057101,[[0;1][-5;5]],30,180021,00:59.9,9236,8,8,8.365533109,120.6666667,0.1316206,0.577989248,112.3011336,[[0;1][1;0.774796108024576][0.981983487883629;0.914098965218678][0.469321986135556;0.919300149709448][...]],0.085741582,3,30,369684776,6,0.022192591,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.725092401,[[0;1]],30,180021,00:59.8,9236,8,8,0.146333252,117.5185752,0.725092401,4.127171582,117.3722419,[[0.280775318815369;0.921165220344128][1;0][0.695916418273424;0.515700338777488]],0.210906339,3,30,1097062460,6,0.210906339,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.439147106,[[0;1]],50,180021,01:00.1,9236,8,8,0.449331647,120.3333333,0.493350092,1.134004085,119.8840017,[[0;1.01062334962294][1;0.0211350299902054][0.819665946196128;0.7104111949985][0.5;0.848463876552202][...]],0.187368933,3,50,1901694770,6,0.202684274,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.516905535,[[0;1]],50,180021,01:00.5,9236,8,8,0.368953916,128.7781161,0.516905535,0.833302822,128.4091622,[[0.851922874373302;-0.767584600833576][0;1.0107108856678][0.425961437186651;0.0444086759637874][0.28113454854319;0.533625929613292][...]],0.220242239,3,50,183147187,6,0.220242239,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.480154928,[[0;1]],50,180021,00:55.6,9236,8,8,0.375620631,120.6666667,0.490927056,0.987403743,120.291046,[[0;1.01108653950389][1;0.00555854909094611][0.417572289449592;0.396902049639996]],0.336493381,3,50,222737869,6,0.336189233,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.047224867,[[0;1][-5;5]],30,180021,01:00.0,9236,8,8,8.27255905,120.6666667,0.116052859,0.558381283,112.3941076,[[0;1][1;0.764695591776431][0.999994214992144;0.899708436230647][0.536012962997445;0.921507386205335][...]],0.110092305,3,30,32888550,6,0.027008524,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.707103094,[[0;1]],30,180021,00:59.8,9236,8,8,0.147080821,117.5185752,0.707103094,4.274739322,117.3714944,[[0.280775318815369;0.921165220344128][1;0][0.676503279856976;0.542343312342754]],0.175535385,3,30,1876864994,6,0.175535385,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.666904524,[[0;1]],50,180021,01:00.1,9236,8,8,0.333623204,120.3333333,0.625216525,1.133757585,119.9997101,[[1;0.0139437998927984][0;1.0069962033455][0.634830346979451;0.606786791818621]],0.258247234,3,50,1279769164,6,0.109293774,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.528994672,[[0;1]],50,180021,01:00.4,9236,8,8,0.811615204,128.7781161,0.555347365,0.992377815,127.9665009,[[0;1.03795838147338][0.851723151927832;-0.752758097569617][0.489747251154763;0.518755926673895][0.244873625577381;0.942326357442506][...]],0.182116808,3,50,1961135985,6,0.19481185,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.480170864,[[0;1]],50,180021,00:55.5,9236,8,8,0.311316912,120.6666667,0.536022651,0.942240071,120.3553498,[[1;0.00252704312986851][0;1.00504773238541][0.5;0.408032936247114][0.33;0.492338789951757]],0.325248154,3,50,2063001078,6,0.331012574,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.06438358,[[0;1][-5;5]],30,180021,01:00.0,9236,8,8,8.387035748,120.6666667,0.170433071,0.611116427,112.2796309,[[0;1][1;0.778418556148095][0.577439862170469;0.875010470223005][0.99967175628783;0.869511340919865][0.4813876295156;0.952428123728718][...]],0.076818312,3,30,2018097184,6,0.032172315,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.735819033,[[0;1]],30,180021,01:00.1,9236,8,8,0.146774476,117.5185752,0.735819033,3.749560907,117.3718007,[[1;0][0.280775318815369;0.921165220344128][0.682297280061626;0.534470421620507]],0.190061656,3,30,1788115629,6,0.190061656,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.39665358,[[0;1]],50,180021,01:00.3,9236,8,8,0.443887242,120.3333333,0.39665358,1.194163497,119.8894461,[[1;0.0240269323360539][0;1.01208562524925][0.637159138684133;0.621277822868421]],0.172907812,3,50,2114523627,6,0.172907812,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.498535438,[[0;1]],50,180021,01:00.8,9236,8,8,0.724346375,128.7781161,0.53916956,0.833171745,128.0537698,[[0.851473784680075;-0.763166986371162][0;1.01772739903527][0.42444300180082;0.617035602029839][0.83705926118213;0.466476150565469][...]],0.234289226,3,50,989090743,6,0.239670017,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.359664889,[[0;1]],50,180021,00:55.9,9236,8,8,0.393206057,120.6666667,0.371666265,0.606634058,120.2734606,[[0;1.01371017637531][1;0.00687842460378918][0.362248787032565;0.455569282771119]],0.18090443,3,50,1228558235,6,0.163093759,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.738479608,[[0;1]],30,180021,01:00.4,9236,8,8,0.149169224,117.5185752,0.738479608,3.91015873,117.369406,[[0.280775318815369;0.921165220344128][1;0][0.754019697382599;0.431454295959054]],0.178720638,3,30,478002320,6,0.178720638,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.084152912,[[0;1][-5;5]],30,180021,01:00.7,9236,8,8,8.219515495,120.6666667,0.134653324,0.592797874,112.4471512,[[0;1][1;0.758925794847368][0.981339769089478;0.88904161750917][0.375991066849866;0.948968142184558][0.919774314006962;0.942164708109772][...]],0.081186644,3,30,1558197893,6,0.039785484,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.583774664,[[0;1]],50,180021,01:00.7,9236,8,8,0.390669075,120.3333333,0.557901352,1.152461904,119.9426643,[[1;0.0179412498097134][0;1.00901332973846][0.531141461792733;0.72941921903794]],0.169498194,3,50,1575000818,6,0.163698078,ZDT2
