,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 65",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.245406728,[[0;1]],30,300000,00:53.6,6542,3,3,1.526512583,117.5185752,0.263292998,2.725295871,115.9920626,[[0.280775318815369;1.02377601933715][0.999755222140674;0.14209097558487][0.478919963002985;0.86500136641323][...]],0.025310337,16,30,1691960535,32,0.026653011,ZDT6
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 61",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.15889758,[[0;1]],50,300000,00:55.3,6542,3,3,0.052992623,128.7781161,0.15889758,0.245287238,128.7251235,[[0.85185710284385;-0.770864120725973][0;1.00464636675889][0.453527911011907;-0.121106388818254][0.652523306925183;-0.455491382810298][...]],0.051647314,16,50,774208472,32,0.051647314,ZDT3
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 74",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.151066564,[[0;1]],50,300000,00:51.3,6542,3,3,0.141590675,120.6666667,0.151066564,0.432621752,120.525076,[[0;1.01833748607721][1;0.00907769223158016][0.521799064638299;0.289466301854259][0.366440645784753;0.407966101494335][...]],0.04725976,16,50,191277041,32,0.04725976,ZDT1
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 65",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.149561896,[[0;1]],50,300000,00:53.9,6542,3,3,0.327784723,120.3333333,0.149561896,0.621009634,120.0055486,[[1;0.0276697566324539][0;1.01424303789687][0.100567285002342;1.00419324950275][0.297289056867643;0.927102072878253][...]],0.024242639,16,50,240065568,32,0.024242639,ZDT2
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 66",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.18007156,[[0;1]],30,300000,00:52.7,6542,3,3,1.289071695,117.5185752,0.18007156,3.006406822,116.2295035,[[0.280775318815369;0.987922417452935][0.999993062759077;0.120404011461371][0.958546222748928;0.197156589827505][...]],0.026259773,16,30,1776167161,32,0.026259773,ZDT6
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 63",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.046763116,[[0;1][-5;5]],30,300000,00:54.6,6542,3,3,5.896432035,120.6666667,0.054012127,0.341930897,114.7702346,[[0;1][1;0.551232155473246][0.0411339668501651;0.909805744136237][0.806995005330325;0.596860609751391][...]],0.025108389,16,30,1182704110,32,0.029146193,ZDT4
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 75",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.143276718,[[0;1]],50,300000,00:51.3,6542,3,3,0.261164029,120.6666667,0.143276718,0.39509432,120.4055026,[[0;1.03963453437199][1;0.0200084643906047][0.0949910340348599;0.725379768951002][0.0457840246833932;0.821461362404547][...]],0.035266469,16,50,203488950,32,0.035266469,ZDT1
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 62",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.191948828,[[0;1]],50,300000,00:55.0,6542,3,3,0.116136839,128.7781161,0.191948828,0.470823342,128.6619793,[[0;1.01385879817843][0.851782518451396;-0.765882425378248][0.453864034256104;-0.115011806261846][0.409280202163838;0.252050029897531][...]],0.065207771,16,50,251899852,32,0.065207771,ZDT3
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 67",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.212935466,[[0;1]],30,300000,00:53.1,6542,3,3,1.238433846,117.5185752,0.212935466,2.57061271,116.2801414,[[0.999999999999888;0.115561528746152][0.280775318815369;0.985051106216904][0.89574065647952;0.302122373887022][...]],0.024542106,16,30,1812880082,32,0.024542106,ZDT6
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 66",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.160373381,[[0;1]],50,300000,00:54.2,6542,3,3,0.215764912,120.3333333,0.160373381,0.813012968,120.1175684,[[1;0.0170078680779974][0;1.0085446267346][0.736942086651651;0.470059740175414][0.837419036419986;0.313213466709646][...]],0.036139183,16,50,567218284,32,0.036139183,ZDT2
