,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 59",5,43,5833,4675,5833,2589.366718,6704820,5833,5833,5833,43,43,5833,1158,2359,0.5
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 63",10,55,6955,4735,6955,2912.730678,8484000,1855,6955,6955,955,955,5255,407.2727273,2902.272727,0.179217922
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 65",11,55,6955,5155,6955,3085.773809,9522000,655,6955,6955,205,3505,4755,16.36363636,5073.181818,0.000309332
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 64",12,55,6955,2880,955,3020.272414,9122045.455,955,6955,6955,655,2655,955,-133.2167832,3612.692308,0.025291175
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 61",8,3,5973,2993,2998,3185.758488,10149057.14,13,5973,5973,8,2988,18,-566.1904762,4974.666667,0.189518091
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 60",7,18,5983,3453.714286,5983,3154.955663,9953745.238,48,5983,5983,18,48,3000.5,624.4642857,1580.321429,0.182824953
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 66",11,55,6955,5345.909091,6955,2795.873583,7816909.091,2155,6955,6955,505,1105,4955,215.4545455,4268.636364,0.065323425
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 65",10,55,6955,3505,1555,3004.163777,9025000,1555,6955,6955,505,505,1555,-23.63636364,3611.363636,0.000567447
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 62",6,78,5968,3045.5,3090.5,3201.817843,10251637.5,78,5968,5968,78,78,3090.5,524.1428571,1735.142857,0.093793803
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 67",9,55,6955,6188.333333,6955,2300,5290000,6955,6955,6955,3505,3505,6955,460,4348.333333,0.3
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 66",12,55,6955,3505,1555,3090.013239,9548181.818,1255,6955,6955,355,4655,1055,-320.979021,5270.384615,0.140273608
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 61",5,13,5983,3574,5873,3198.816969,10232430,128,5873,5983,13,13,3055.5,619.5,2335,0.093765667
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 68",10,55,6955,6265,6955,2181.971586,4761000,6955,6955,6955,3505,3505,6955,376.3636364,4571.363636,0.272727273
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 67",11,55,6955,5236.818182,6955,2954.93424,8731636.364,1255,6955,6955,355,3505,6955,152.7272727,4473.181818,0.029385307
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 63",8,13,5948,2269.25,125.5,3046.618442,9281883.929,23,5948,5948,18,80.5,68,-213.452381,3016.333333,0.029452158
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 62",6,28,5978,3044.666667,3110.5,3214.133891,10330656.67,63,5978,5978,28,28,3020.5,496.5714286,1803.238095,0.083541751
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 44",10,55,6955,5695,6955,2671.329257,7136000,6955,6955,6955,655,3505,6955,480,3535,0.295964126
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 44",5,13,5858,4689,5858,2613.963466,6832805,5858,5858,5858,13,13,5858,1169,2351,0.5
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 45",12,55,6955,4280,6955,3336.880688,11134772.73,355,6955,6955,155,2355,2555,24.12587413,4147.307692,0.00067956
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 64",6,18,5983,3035.5,3100.5,3229.611045,10430387.5,28,5983,5983,18,18,3100.5,539,1688,0.097486647
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 63",6,28,5973,3037.166667,3103,3216.856255,10348164.17,43,5973,5973,28,43,130.5,-494.1428571,4272.52381,0.082586636
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 46",12,55,6955,5055,6955,2861.341071,8187272.727,2155,6955,6955,955,4655,1655,-245.4545455,6405,0.095663497
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 45",5,18,5943,4758,5943,2649.740553,7021125,5943,5943,5943,18,18,5943,1185,2388,0.5
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 65",7,13,5968,1776.571429,183,2864.724702,8206647.619,13,5968,5968,13,38,13,-14.82142857,1821.035714,0.000124917
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 64",5,13,5978,4785,5978,2667.629097,7116245,5978,5978,5978,13,13,5978,1193,2399,0.5
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 47",10,55,6955,5725,6955,2617.059419,6849000,6955,6955,6955,805,3505,6955,278.1818182,4473.181818,0.103571855
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 46",7,48,5913,2593,188,3105.862736,9646383.333,88,5913,5913,48,88,118,7.857142857,2569.428571,2.99E-05
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=3} Run 48",12,55,6955,4255,4555,2891.680858,8361818.182,2155,6955,6955,955,4655,3255,-201.3986014,5362.692308,0.063060227
