,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 32",50,4,5784,1168.5,00:00.0,2331.199492,5434491.071,9,34,4826.5,4.416666667,4.833333333,4457.076923,111.2256903,-1556.529412,0.483738077
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 28",50,55,6955,1777,00:00.0,2644.539233,6993587.755,355,1255,6005,105,105,5639.615385,140.3553421,-1661.705882,0.598572555
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 32",50,35,6135,1340,00:00.0,2425.549591,5883290.816,85,435,5185,39.16666667,43.33333333,4819.615385,119.9111645,-1597.823529,0.519347277
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 32",50,21,6471,1560,00:00.0,2494.898673,6224519.388,21,771,5521,21,46,5155.615385,130.062425,-1626.529412,0.577506404
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 33",50,4,5784,1166.9,00:00.0,2332.0045,5438244.99,4,34,4825.666667,4,4.416666667,4455.153846,111.2064826,-1557.658824,0.483237217
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 33",50,35,6135,1340,00:00.0,2425.044708,5880841.837,35,385,5176.666667,35,35,4808.076923,120.3241297,-1607.941176,0.52314839
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 33",50,21,6471,1395,00:00.0,2286.21066,5226759.184,171,1221,4721,21,46,4451.769231,115.3613445,-1431.352941,0.541062035
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 34",50,4,5774,1164.5,00:00.0,2328.1615,5420335.969,4,24,4816.5,4,4.416666667,4446.307692,110.9951981,-1554.882353,0.482993303
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 29",50,55,6955,1789,00:00.0,2499.192523,6245963.265,355,1555,5605,80,105,5247.307692,131.6830732,-1437.235294,0.58995572
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 34",50,35,6135,1237,00:00.0,2323.284094,5397648.98,35,435,4710,35,39.16666667,4381.153846,110.7707083,-1476.882353,0.483063431
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 34",50,21,6471,1485,00:00.0,2384.367456,5685208.163,171,1071,5121,46,46,4809.461538,118.6170468,-1421.117647,0.525904368
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 35",50,4,5764,1163.4,00:00.0,2323.678611,5399482.286,4,39,4809.833333,4,4,4440.538462,110.8897959,-1553.4,0.483938286
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 35",50,35,6135,1339,00:00.0,2423.668159,5874167.347,85,285,5160,43.33333333,43.33333333,4777.307692,118.8139256,-1571.941176,0.510678189
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 35",50,21,6471,1401,00:00.0,2282.721255,5210816.327,171,1221,4721,46,46,4451.769231,113.3013205,-1374.882353,0.523507746
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 36",50,4,5784,1167.7,00:00.0,2331.612346,5436416.133,4,44,4827.333333,4,4,4456.307692,111.2391357,-1557.658824,0.483683701
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 30",50,55,6955,1879,00:00.0,2596.902393,6743902.041,355,1555,6055,105,105,5616.538462,139.9087635,-1548.764706,0.616790275
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 36",50,35,6035,1307,00:00.0,2389.564045,5710016.327,35,285,5076.666667,35,35,4692.692308,117.214886,-1564.764706,0.511313339
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 37",50,4,5784,1165.9,00:00.0,2332.509573,5440600.908,4,29,4826.083333,4,4,4454,111.1954382,-1558.388235,0.482932025
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 36",50,21,6471,1461,00:00.0,2252.753417,5074897.959,171,1221,4721,46,46,4451.769231,111.7887155,-1277.823529,0.523272067
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 37",50,35,6135,1308,00:00.0,2439.141075,5949409.184,35,235,5151.666667,35,43.33333333,4773.461538,118.787515,-1602.294118,0.503995535
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 38",50,4,5784,1165.4,00:00.0,2332.757858,5441759.224,4,29,4824.833333,4,4.416666667,4451.692308,111.129892,-1557.282353,0.482260172
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 37",50,21,6471,1488,00:00.0,2399.864154,5759347.959,21,1221,5158.5,21,21,4855.615385,123.2484994,-1531.588235,0.560465516
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 31",50,55,6955,1909,00:00.0,2623.536327,6882942.857,55,1855,6105,55,105,5778.076923,147.212485,-1697.705882,0.669073853
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 38",50,35,6135,1353,00:00.0,2419.684581,5854873.469,85,435,5185,35,43.33333333,4819.615385,120.5954382,-1601.588235,0.527841072
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 39",50,4,5784,1167.1,00:00.0,2331.906221,5437786.622,4,44,4827.333333,4,4.833333333,4455.153846,111.2031212,-1557.376471,0.483248736
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 38",50,21,6471,1608,00:00.0,2494.582088,6222939.796,171,1221,5596,33.5,46,5259.461538,134.0528211,-1676.294118,0.613642246
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 39",50,35,6135,1309,00:00.0,2438.702398,5947269.388,35,235,5151.666667,35,35,4773.461538,119.0828331,-1608.529412,0.506686859
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 40",50,4,5784,1166.5,00:00.0,2332.203839,5439174.745,9,34,4826.5,4.416666667,4.833333333,4454,111.1517407,-1556.717647,0.482679061
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 39",50,21,6471,1569,00:00.0,2506.94871,6284791.837,21,1071,5571,21,21,5224.846154,134.060024,-1715.470588,0.607668358
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 32",50,55,6955,1807,00:00.0,2506.582355,6282955.102,55,1555,5605,55,55,5293.461538,136.8259304,-1545.235294,0.63318672
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 40",50,35,6135,1335,00:00.0,2426.30146,5886938.776,85,335,5168.333333,35,43.33333333,4781.153846,119.2268908,-1586.058824,0.513118712
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 40",50,21,6471,1503,00:00.0,2516.67419,6333648.98,21,471,5471,21,21,5086.384615,127.635054,-1624.058824,0.54656885
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 21",40,182,10982,3512,00:00.0,3404.160351,11588307.69,632,4382,8342,182,182,8162,252.8893058,-1419.341463,0.754229496
