,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 10",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:26.4,5864,3,3,136.0085035,1330.381387,60.94985306,244.6906896,1194.372884,[[0;0;10.0811927321424][10.0811927474156;0;0][0;10.0811927330876;0][7.85471188827616;1.51137305185872;0.715107824835706][...]],48.10531589,16,668329268,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 15",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:23.5,6542,3,3,0.406813356,1330.983399,6.804077652,20.34856263,1330.576585,[[1.53542664944092;0;0][0;1.53542664937271;0][0;0;1.53542664740806][0.0636088390799709;0.865765004110533;0.606052806062121][...]],4.283224742,16,717355421,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 13",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:18.9,6385,3,3,0.320452859,1330.998863,13.88528906,53.88588994,1330.678411,[[0;1.50091494787584;0][0;0;1.50091494787584][1.50091611445006;0;0][0.21087318785367;0.507864746832578;0.782177836226965][...]],9.159487517,16,1834162766,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 12",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:09.6,6258,3,3,0.311779649,1330.984592,76.41859852,253.0418619,1330.672812,[[0;0;1.64210293421202][1.64210293327748;0;0][0;1.6421045911657;0][0.440085364456349;0.669162401325043;0.53286196757765][...]],47.08531319,16,219465599,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 11",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:32.8,5864,3,3,82.10675486,1330.381387,87.10929069,300.1389779,1248.274633,[[0;0;9.07488133157558][0;9.08835875342727;0][9.0853958897558;0;0][1.17494304300205;6.23947558362311;1.67331478126614][...]],47.21633057,16,1661138079,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 16",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:25.9,6542,3,3,0.216762302,1330.977684,10.05140419,33.60528641,1330.760922,[[0;0;1.04482633841406][0;1.04489101449073;0][1.04485828177446;0;0][0.538629652030481;0.215111621626048;0.291413723718556][...]],5.742395715,16,822135266,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 14",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:17.9,6385,3,3,2.06662693,1330.887814,12.49555721,43.29450523,1328.821187,[[0;0;2.6735525500687][0;2.67407365729629;0][2.67358290910248;0;0][0.253139262883968;1.89961499782261;0.521511595984694][...]],7.528230031,16,750650782,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 13",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:06.9,6258,3,3,0.525540164,1330.999853,81.36376297,213.6086739,1330.474312,[[0;0;1.7243998043866][1.72452120067154;0;0][0;1.67044917898372;0][0.216312796537984;0.468210008389149;1.03987699943868][...]],48.40795119,16,1082166851,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 12",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:27.5,5864,3,3,1330.381387,1330.381387,84.4876294,250.2847122,0,[[37.8798171366634;0;0][0;0;37.8798172777395][0;37.8798170914515;0][25.594193261378;10.7793829516302;1.50624090109898][...]],54.95974018,16,995521694,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 17",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:25.5,6542,3,3,0.402845838,1330.722633,7.142136795,19.20686974,1330.319787,[[2.65887994930215;0;0][0;2.65887907029462;0][0;0;2.65952773381289][1.84351970616232;0.81663546825609;0][...]],4.845846373,16,204151999,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 15",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:18.9,6385,3,3,6.782022559,1330.945809,23.53889606,66.87710104,1324.163786,[[0;0;4.21941118192796][0;4.21941117976151;0][4.21941117095611;0;0][2.35574823644604;0.682552431462177;1.18111052942715][...]],19.31206629,16,208637525,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 13",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:33.5,5864,3,3,9.029006889,1330.381387,70.25735807,278.706892,1321.352381,[[0;6.17119725992669;0][6.17119591831826;0;0][0;0;6.17119592154537][3.30565937451846;1.59019819950909;1.27533850216745][...]],59.31277607,16,1921117018,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 14",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:10.6,6258,3,3,26.11272053,1330.644829,51.84856176,139.6077026,1304.532109,[[5.52895362979556;0;0][0;5.52895354433504;0][0;0;5.52895352681456][1.05866878061829;3.67395799862744;0.796326848799152][...]],55.79519555,16,900979713,32
