,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 45",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 45",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 46",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 38",12,776,9026,5476,4376,2831.15781,8015454.545,4376,9026,9026,2576,6276,4376,-283.2167832,7033.692308,0.130092772
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 37",14,1226,9026,4483.142857,3626,2769.258242,7668791.209,2126,5426,9026,1526,6026,2276,-425.9340659,7251.714286,0.413995754
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 46",10,5779,5779,5779,5779,0,0,5779,5779,5779,5779,5779,5779,0,5779,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 47",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 47",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 48",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 39",10,476,9026,4301,2276,3369.161617,11351250,2276,9026,9026,1376,6551,2276,-744.5454545,7651.454545,0.447661952
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 38",11,1826,9026,5753.272727,5426,2767.342013,7658181.818,3626,9026,9026,2726,9026,3026,-621.8181818,8862.363636,0.555384615
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 48",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 49",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 40",14,1676,9026,5447.428571,5276,2920.992606,8532197.802,3476,9026,9026,1676,5926,4826,-193.8461538,6707.428571,0.077071092
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 39",11,926,5426,3462.363636,3626,1650.619718,2724545.455,1826,5426,5426,926,3176,2126,-171.8181818,4321.454545,0.119189189
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 49",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 50",10,5779,5779,5779,5779,0,0,5779,5779,5779,5779,5779,5779,0,5779,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 24",10,5774,5774,5774,5774,0,0,5774,5774,5774,5774,5774,5774,0,5774,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 41",17,476,8876,4014.235294,3476,2943.240636,8662665.441,1676,6926,7901,926,7488.5,3266,-265.4411765,6137.764706,0.207407867
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 40",17,1226,9026,3996.588235,1976,2926.498485,8564393.382,1976,5576,8163.5,1226,8163.5,2546,-374.6323529,6993.647059,0.417882451
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 24",14,1226,9026,4011.714286,3776,2495.259241,6226318.681,2126,5576,7876,1826,6126,3176,-255.8241758,5674.571429,0.183945798
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 25",10,5779,5779,5779,5779,0,0,5779,5779,5779,5779,5779,5779,0,5779,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 26",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 42",13,476,9026,4352.923077,3776,2769.146633,7668173.077,1976,5576,7876,976,2676,3776,-91.48351648,4901.824176,0.016553275
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 41",11,1076,9026,5685.090909,5426,2880.695939,8298409.091,3626,9026,9026,2351,7226,2776,-544.0909091,8405.545455,0.392410648
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 25",16,1076,9026,4713.5,4601,2995.746985,8974500,1976,7226,9026,1526,7713.5,2613.5,-365.7352941,7456.514706,0.337840057
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 27",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 43",11,926,9026,5507.818182,3626,2970.123964,8821636.364,3626,9026,9026,2276,3626,5126,81.81818182,5098.727273,0.008347245
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 42",13,926,9026,4387.538462,3626,2487.816466,6189230.769,3626,5426,7826,1526,5426,3401,-267.032967,5989.736264,0.174736337
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 26",10,1076,9026,4796,4601,3330.765678,11094000,1976,9026,9026,1076,6326,2876,-578.1818182,7397.818182,0.276218103
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 28",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 29",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 44",13,1076,7226,4237.538462,3776,2625.686723,6894230.769,1826,7226,7226,1326,2876,3476,47.8021978,3950.725275,0.005026898
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 43",12,776,9026,4351,4076,2420.227262,5857500,3251,4076,7376,1876,5726,3526,-242.3076923,5683.692308,0.130306313
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 27",13,1076,9026,4329.846154,3926,2696.097607,7268942.308,2126,5726,7926,1076,5026,2951,-151.6483516,5239.736264,0.047983764
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 30",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 45",12,926,9026,4676,5426,2681.756548,7191818.182,2726,5426,7826,1226,4826,3926,-264.3356643,6129.846154,0.12630373
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 31",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 44",12,1076,9026,4926,3626,2745.326607,7536818.182,3626,7226,9026,2226,7226,3376,-463.6363636,7476,0.370774874
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 28",12,776,9026,5401,5426,3157.350731,9968863.636,2726,9026,9026,1426,7826,5076,-266.4335664,6866.384615,0.092571132
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 32",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 46",11,926,9026,5180.545455,3626,3272.113579,10706727.27,1826,9026,9026,1376,5426,3326,-384.5454545,7103.272727,0.151925722
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 45",11,1076,9026,4471.454545,1976,3276.236755,10733727.27,1976,9026,9026,1526,5501,2876,-372.2727273,6332.818182,0.142024926
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 29",15,926,9026,4516,5276,2848.006822,8111142.857,1826,5276,9026,1226,6626,4413.5,-253.9285714,6293.5,0.158990467
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 33",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 34",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 47",15,1076,9026,3856,1976,2919.564547,8523857.143,1976,5426,9026,1376,9026,2651,-415.7142857,6766,0.405493345
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 46",14,926,9026,3947.428571,3626,2632.395391,6929505.495,1826,5426,7826,1526,6026,3401,-231.4285714,5451.714286,0.135260116
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 30",13,1076,9026,5010.615385,3476,2948.402436,8693076.923,3476,9026,9026,2126,7176,4301,-190.3846154,6152.923077,0.06323832
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 35",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 48",14,776,9026,4076,3626,3070.705256,9429230.769,1676,5426,9026,1076,6626,2651,-478.6813187,7187.428571,0.425260202
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 47",13,1076,9026,4756.769231,3776,3615.910355,13074807.69,1976,9026,9026,1076,2276,5951,159.8901099,3797.428571,0.029655007
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 36",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 31",9,926,8126,5126,4526,2545.584412,6480000,4526,8126,8126,1826,1826,4526,150,4526,0.026041667
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 37",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 32",11,1826,9026,4444.181818,3626,2591.454488,6715636.364,1826,5426,9026,1826,6326,3626,-376.3636364,6326,0.232017544
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 38",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 39",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 33",12,776,9026,3501,3476,3046.570352,9281590.909,776,4376,7476,776,3526,2576,-176.2237762,4470.230769,0.043496062
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 40",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 41",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 34",18,776,9026,4242.666667,2576,3085.640366,9521176.471,2576,5426,9026,776,6963.5,3356,-264.3962848,6490.035088,0.209249747
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 42",10,5779,5779,5779,5779,0,0,5779,5779,5779,5779,5779,5779,0,5779,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 35",12,1676,9026,5463.5,5276,2420.473752,5858693.182,3476,7151,9026,2876,5926,4076,-163.1118881,6360.615385,0.059035579
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 43",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 36",10,1826,9026,5426,3626,3174.901573,10080000,3626,9026,9026,1826,2726,4826,-65.45454545,5720.545455,0.003896104
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 37",12,776,9026,5238.5,5276,2727.980022,7441875,3476,7151,9026,1976,5326,4076,-237.5874126,6545.230769,0.098607021
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 38",11,926,9026,4771.454545,3626,3120.052447,9734727.273,1826,9026,9026,926,7226,3626,-564.5454545,7594.181818,0.360136157
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 39",8,1976,9026,5088.5,4676,2785.260952,7757678.571,2876,7301,9026,1976,3776,3776,-250,5963.5,0.048339203
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 40",12,1826,9026,5426,5426,2972.602166,8836363.636,2726,9026,9026,1826,7826,3626,-465.7342657,7987.538462,0.319114219
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 41",11,1826,9026,5753.272727,5426,2882.044729,8306181.818,3626,9026,9026,1826,3626,3026,-245.4545455,6980.545455,0.079787234
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 42",12,926,9026,5126,4526,3218.412935,10358181.82,2726,9026,9026,1226,6026,3926,-125.8741259,5818.307692,0.019885328
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 43",13,1826,9026,5656.769231,7076,3087.848392,9534807.692,1826,9026,9026,1826,8376,5801,-318.956044,7570.505495,0.161822861
