,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 24",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:52.2,7015,10,10,7.50387816,0.849947121,2.852526195,996.3819761,[[0;0.672454528210959;5.34732704098444][0.760311201350419;0.947785643137286;3.2899762465255][0;0;6.00103606794314][...]],0.374097359,5,1219890252,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 24",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:58.1,9026,10,9,7.227166124,0.910514975,2.482955279,996.6586882,[[0.773203390413666;0.961604739068296;3.37937074900907][0.911620554725871;0;4.63310752008093][0;0;6.00000248353804][...]],0.216909263,5,350602831,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 24",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:46.5,5983,10,10,16.74722961,1.015578907,6.300289921,987.1386247,[[0;0;6.06961131474661][0.85977972473003;0.857710371249621;2.68373797183138][0.938969111086411;0;4.6215681947847][...]],0.294807813,5,265787346,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 25",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,02:04.2,10982,10,8,7.263444468,0.749791594,1.94152178,996.6224098,[[0;0;6.00003244258083][0.859463548475706;0.858717130663319;2.61406280258742][0;0.964123001197093;4.71638389210462][...]],0.331390354,5,210578660,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 25",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:51.3,7015,10,10,11.42895203,0.710096476,2.145798187,992.4569022,[[0.970147499953397;0.645340091026566;4.58092349042592][0.859950304174626;0.859538591363638;2.61413925872865][...]],0.335073966,5,2119539282,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 25",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:45.9,5983,10,10,13.66194661,0.777412271,4.473168547,990.2239077,[[0;0;6.0118004460605][0.855830207402981;0.861634049859112;2.62650595825317][1;0;5.01180044743666][0.340905178006012;0.343217038382651;5.38391062953876][...]],0.365500155,5,1421977101,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 25",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:58.1,9026,10,9,5.245979435,0.733139402,1.521126318,998.6398748,[[1;0.767082235584469;3.80941381971379][0.860635308209481;0.861668057745708;2.61609534918119][0;0;6.00182444145929][...]],0.244305334,5,1173258280,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 26",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,02:03.6,10982,10,8,5.503883491,0.696462362,1.884582634,998.3819708,[[0.906384376709249;0.823470201507997;3.14497703716938][0;0;6.00003663783465][0.860442263997756;0.857552856144747;2.6142254770608][...]],0.296907433,5,1052335362,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 26",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:50.6,7015,10,10,14.84052511,0.798603859,2.906803359,989.0453292,[[0;0.940683891024376;5.18750663692851][0;0;6.00109865904926][0.857832145116483;0.858743689834613;2.6152210575935][...]],0.368784685,5,1282520402,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 26",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:45.9,5983,10,10,15.43358727,0.757093077,5.291601816,988.452267,[[0.861148587934424;0.857772536953416;2.68450611957274][0;0;6.07027304904138][0.891417871546628;0.155674939710563;4.22853165990136][...]],0.319171445,5,296834814,10
