,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 41",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.2,5784,1,5,5,14.94895874,1.159343621,0.115979002,988.9368955,[[0.857897926335064;0.858177703902988;2.66714342298178][0.734706930497962;0.863036917281759;3.18629657865773][...]],0.110833721,10,1514906559,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 42",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.4,5784,0,5,5,30.80376855,1.309579954,0.103161052,973.0820857,[[0.857681270263331;0.859079551206449;2.82116873943242][0.93640424061004;0;4.74238436971239][0;0;6.20703993275091][...]],0.271734715,10,1212626080,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 42",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.8,5784,1,5,5,59.03868082,1.173279744,0.257976876,944.8471735,[[0.85969648962732;0.862616654663827;2.99076384643312][0;0.218777808493576;5.96901375419075][0;0;6.40069517573009][...]],0.14642948,10,1121222319,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 43",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.8,5784,0,5,5,16.18533633,1.209013003,0.114728511,987.7005179,[[0.857762498851681;0.859254669247689;2.70720693411091][0;0;6.06262918108023][1;0;5.06262727864209][0.873252104243068;0.333420268764165;4.07225688975384][...]],0.176952233,10,786154702,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 36",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:26.1,9026,1,10,9,8.168976688,0.747849069,0.176004179,995.7168776,[[0.859538447239769;0.859029455331892;2.61414145337458][0;0;6.00012843818085][0.249931692239704;1;4.60892712307709][...]],0.194510333,5,71544284,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 35",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:26.3,9026,0,10,9,6.047681456,0.988912321,0.123473709,997.8381728,[[0.86452555347093;0.8550328971334;2.90410762482486][0.690723374517092;0.986722948529781;4.46660428266026][...]],0.335647566,5,492337080,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 43",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:27.9,5784,1,5,5,18.48657337,1.099214855,0.162556288,985.3992809,[[0.858972214791546;0.859316339807964;2.72439608328343][0;0;6.11037353076342][0.238460260621003;1;4.68600537686594][...]],0.164194635,10,643883792,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 44",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:27.8,5784,0,5,5,11.77852047,1.077409953,0.092471674,992.1073338,[[0.859881876639957;0.859743053661178;2.69029215323526][0;0.892090221926633;4.42542237853383][0;0;6.07627010261732][...]],0.32969081,10,719834304,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 37",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:24.8,9026,1,10,9,6.674101985,1.174915176,0.124788496,997.2117523,[[0;0;6.00000500678453][0.858707863881658;0.858946519983303;2.61404072776031][0.702851344348711;1;4.07068540818374][...]],0.363135717,5,665477065,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 36",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.0,9026,0,10,9,9.333518381,1.081677791,0.158003532,994.5523359,[[0.137654452274809;0.960902228887421;4.47778748094341][1;0;5.01216058779087][0;0;6.00003099568512][0.860381577425221;0.860090966668041;2.61409482701645][...]],0.186539523,5,447884003,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 44",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:27.9,5784,1,5,5,33.99702812,1.138072035,0.100366739,969.8888262,[[0.86086683895991;0.860503675219155;2.79518931152533][0;0;6.18101703143659][0.773345531893928;0.861081909505705;3.06181656987477][...]],0.150501981,10,1472960716,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 45",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.7,5784,0,5,5,24.64592238,1.219105415,0.098124739,979.2399319,[[0.859638603543974;0.859390819961336;2.76278497443846][0;0;6.14904324824207][0.859638603543974;0.271052324183982;4.0368794279004][...]],0.222929984,10,1786084156,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 45",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.4,5784,1,5,5,11.84020119,1.015446137,0.083411103,992.0456531,[[0.860262505039575;0.860393364818752;2.61731703130767][0;0;6.00324531420289][0.668693722144183;0.862689620018501;3.70367053333145][...]],0.241577529,10,1386437066,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 46",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:27.8,5784,0,5,5,25.69229811,1.10722181,0.118584494,978.1935562,[[0.860293356588432;0.855502230489233;2.78214991036859][0;0;6.16750891465599][0.702909394130958;0.878263956041493;3.55018938268989][...]],0.19016098,10,1278830977,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 38",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:26.0,9026,1,10,9,4.868083109,0.996118811,0.077985179,999.0177712,[[0;0.877255460162969;5.22498442205691][0.860428113164316;0.859590559095365;2.6154383856402][0;0;6.00055805082487][...]],0.272777328,5,859877205,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 37",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:26.6,9026,0,10,9,9.988245623,0.914138247,0.139956702,993.8976087,[[0.990026819829011;0;4.97044845770641][0;0.171765028483029;5.66046663767812][0;0;6.00131209758036][0.860315163364161;0.857741317163808;2.61546191462971][...]],0.233792372,5,578485843,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 46",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.9,5784,1,5,5,30.9575051,1.201963586,0.126389834,972.9283492,[[0;0;6.16198838874676][0.85903683885764;0.858344179169441;2.77605917069343][0.85903683885764;0.576457009895354;4.32572979803246][...]],0.142064289,10,96711429,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 47",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.7,5784,0,5,5,26.33826179,0.980639013,0.133966428,977.5475925,[[0.859725029681811;0.859361848444687;2.74058240181023][0.186439385015112;0.938306829449254;4.30327199036987][...]],0.202211786,10,2008053255,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 47",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:27.5,5784,1,5,5,23.06847928,1.135849049,0.177264613,980.817375,[[0;0.460642679234943;6.06072555734148][0;0;6.09008913213578][0.806948369421523;0.889914341998639;2.84438350398545][...]],0.222156578,10,1517303946,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 48",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:27.5,5784,0,5,5,7.129041575,1.387818181,0.072169663,996.7568127,[[0;0;6.01687541793953][0.85957824911087;0.858808839732202;2.63103749213313][0.870841870759922;0.796579164551864;2.78334450953539][...]],0.199141611,10,702207228,20
