,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 49",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",31:19.8,10982,1,10,8,1.545081889,1330.999861,1.716758641,0.573688237,1329.454779,[[1;0;0][6.1104482263617E-17;3.06417650173452;0.196751105664168][3.74915180455534E-33;6.17529369927544E-17;1.00853530279349][...]],0.594010697,5,1801013129,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 35",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",26:24.3,10982,3,10,8,2.016094768,1330.998679,1.048947466,0.432965081,1328.982584,[[1;0;0][5.63905985451496E-17;4.918645568582E-17;2.06154666550457][6.12303176911189E-17;1.99231458850477;0][...]],0.802443593,5,1990944760,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 36",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:57.9,10982,3,10,8,1.726841592,1330.995209,2.365339366,0.627280784,1329.268367,[[1;0;0][6.12303176911189E-17;2.80932126466059;0][5.98444899079463E-17;2.78600957117055E-17;2.15080520281817][...]],0.735852367,5,2108503729,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 37",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:55.5,10982,3,10,8,1.219923268,1330.995224,3.076411684,1.113031197,1329.7753,[[1;0;0][6.07682888262285E-17;5.66016303611419;0.699300635636427][5.06797004496312E-17;5.429582101401E-17;1.58013061475459][...]],0.913340609,5,679446144,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 38",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:56.8,10982,3,10,8,1.473508563,1330.995166,2.753947708,0.937178557,1329.521657,[[1;0;0][6.12194477299538E-17;5.66698658021962E-18;4.91200962606317][6.12303176911189E-17;1.54918233773817;0][...]],0.861053207,5,526951102,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 39",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:55.7,10982,3,10,8,2.056197376,1330.995701,1.988639115,1.601748161,1328.939504,[[1;0;0][6.11764858277141E-17;1.31365593260558E-17;5.11751525903715][6.10238986660365E-17;2.23227037214113;0.1837611200528][...]],0.431680012,5,67451897,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 40",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:56.6,10982,3,10,8,1.014506076,1330.98802,1.428922369,0.483709595,1329.973513,[[1;0;0][5.97494512885625E-17;2.36729673083511;0.530314000175096][5.69719086965491E-17;4.92716756220966E-17;2.19614402606239][...]],0.687703216,5,254224879,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 41",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:50.4,10982,3,10,8,1.553749185,1330.994646,1.211133622,0.730638853,1329.440897,[[1;0;0][6.12245539238716E-17;3.13852609551363;0.0430666772289157][3.74915180455534E-33;6.19907139891469E-17;1.01241862408528][...]],0.417079938,5,88902596,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 42",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:47.9,10982,3,10,8,3.251161944,1330.991708,4.073440254,1.959338858,1327.740546,[[1;0;0][6.11254891808799E-17;1.09815475181489E-17;3.06627813063713][3.74915180455534E-33;6.19525227279257E-17;1.01179489285765][...]],1.195291529,5,274102802,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 43",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:53.6,10982,3,10,8,1.036944526,1330.991117,0.855769542,0.210581204,1329.954173,[[1;0;0][5.88489947806236E-17;2.52532719348554E-17;1.49339404048136][3.74915180455534E-33;6.18135191601927E-17;1.00952471734698][...]],0.639058875,5,2070167941,10
