,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 34",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",35:12.1,10982,0,10,8,1.416245637,1330.998434,1.719624943,0.333144443,1329.582188,[[1;0;0][6.08445045905814E-17;1.01100307057787E-17;1.47316346314735][6.12303176911189E-17;0;1.01378634346668][...]],0.444656592,5,1260629256,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 33",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",35:13.6,10982,1,10,8,2.100668501,1330.992411,3.417022134,1.117031415,1328.891742,[[1;0;0][6.1226305654612E-17;2.63364547317581E-18;3.75736801611774][5.97327530681742E-17;4.49369838504479;1.01253623826122][...]],1.093716134,5,617439189,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 38",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:33.5,6542,1,3,3,0.513458935,1330.999068,0.666893592,0.553070468,1330.485609,[[1;0;0][5.8018568615501E-17;2.44967089187523;0.82630180501777][6.12303176911189E-17;0;2.38087920716464][...]],0.233646566,16,1088788477,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 37",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",15:09.9,6542,0,3,3,0.883171895,1330.994271,0.617404385,0.658504774,1330.111099,[[1;0;0][6.07791349606296E-17;2.02091931902276E-17;2.72380493277091][6.12303176911189E-17;2.28555396151137;0][...]],0.157299668,16,681119638,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 39",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:41.7,6542,1,3,3,0.558784079,1330.999785,0.485021491,0.970571392,1330.441001,[[1;0;0][5.93980085978164E-17;3.2855744826189;0.822362790421222][6.11118144748325E-17;3.47774390105225E-17;9.13365296126979][...]],1.393968827,16,491015450,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 38",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",15:14.0,6542,0,3,3,0.841252303,1330.996551,0.679782223,0.79383061,1330.155299,[[1;0;0][6.12303176911189E-17;0;5.90062259057542][6.12303176911189E-17;2.35786319726424;0][3.74915180455534E-33;6.56113547164788E-17;1.07155012729903][...]],0.795490692,16,867790824,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 40",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:41.2,6542,1,3,3,0.845269667,1330.997867,1.249611626,1.12053806,1330.152597,[[1;0;0][6.12303176911189E-17;0;6.55565555616693][6.11832345516133E-17;2.70634185106875;0.106193437174679][...]],0.529587885,16,1392693827,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 35",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",35:37.3,10982,0,10,8,2.867846085,1330.980112,1.909456828,1.617255906,1328.112266,[[1;0;0][6.06378558545485E-17;4.50281552604963;0.630980096283422][6.12303176911189E-17;0;1.01353263535578][...]],0.577116305,5,1003059701,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 34",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",35:44.7,10982,1,10,8,1.626744528,1330.995758,∞,1.168375585,1329.369013,[[1;0;0][6.0936443721885E-17;5.8169991482545;0.571977552635125][6.11857020483412E-17;5.87352767242179E-18;2.51325360843364][...]],1.425589499,5,1570194057,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 39",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",15:15.4,6542,0,3,3,0.146760358,1330.997965,0.404049877,0.433387574,1330.851205,[[1;0;0][6.05996278191514E-17;2.1676186222088E-17;2.47285083477098][3.74915180455534E-33;6.56128705348718E-17;1.07157488330962][...]],0.091021171,16,33242083,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 41",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:47.5,6542,1,3,3,0.490745708,1330.997703,0.732873377,0.583152404,1330.506957,[[1;0;0][6.04593965550875E-17;2.66155204130041;0.42638612722899][6.12253485119628E-17;1.58823732135687E-18;2.03602744105594][...]],0.215185394,16,232987091,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 40",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",15:21.1,6542,0,3,3,0.413861416,1330.998563,0.779940488,0.823802239,1330.584701,[[1;0;0][3.74915180455534E-33;6.55645446030293E-17;1.07078563488393][6.12303176911189E-17;4.99877155023988;0][...]],0.443640331,16,720825724,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 42",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:49.4,6542,1,3,3,0.779549637,1330.990178,1.11340348,1.195731464,1330.210629,[[1;0;0][0.0313612870072617;0;1.59323827550225][6.11208000669536E-17;1.32446152791367E-17;3.61820667233819][...]],1.015342339,16,602463585,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 41",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",15:22.7,6542,0,3,3,0.935529839,1330.991515,1.104455168,1.627821251,1330.055985,[[1;0;0][6.06267950256123E-17;4.45910849431626;0.630747682130608][6.12289822948423E-17;2.26562312720832E-18;5.60256240251084][...]],0.235182783,16,408216157,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 36",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",35:54.2,10982,0,10,8,3.835007531,1330.99604,2.12877617,1.262016019,1327.161033,[[1;0;0][0.389507659867131;4.7925065780821;0][5.66481892678307E-17;3.21264055224866E-17;1.38232828729552][...]],0.482400569,5,585613996,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 35",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",35:56.1,10982,1,10,8,3.4091792,1330.997488,2.471843447,1.592730044,1327.588309,[[1;0;0][6.11982961030726E-17;3.81640236728639;0.123474627632329][6.12303176911189E-17;0;1.00713221079561][...]],0.445852872,5,2089667267,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 43",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:36.7,6542,1,3,3,1.42643446,1330.999925,0.618314163,0.71914507,1329.573491,[[1;0;0][6.10932225504863E-17;3.16085054940397;0.211873665323633][3.74915180455534E-33;6.45366360789147E-17;1.05399806031507][...]],0.146521951,16,354886545,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 42",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:58.5,6542,0,3,3,0.930100692,1330.996487,1.194397862,1.111616855,1330.066386,[[1;0;0][3.74915180455534E-33;6.75037957102543E-17;1.1024570548659][6.08857837309178E-17;6.54118166336415;0.696855598423349][...]],0.820418649,16,1366647801,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 44",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:22.8,6542,1,3,3,0.898219526,1330.99903,0.595934135,0.478864792,1330.100811,[[1;0;0][3.74915180455534E-33;6.42102372666061E-17;1.04866738713524][6.12194414940704E-17;3.15087254462946E-18;2.73031864377734][...]],0.172267874,16,2011644183,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 43",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:55.4,6542,0,3,3,1.006822081,1330.998575,0.646349966,0.669566938,1329.991753,[[1;0;0][6.1229929563424E-17;6.52771726344519E-19;2.99416998853113][3.74915180455534E-33;6.52080765326701E-17;1.06496387723509][...]],0.168541502,16,1524679035,32
